especie,comercial
Abarema cochleata,0
Abarema jupunba,0
Abarema mataybifolia,0
Abuta grandifolia,0
Agonandra brasiliensis,0
Aiouea sp.,0
Albizia pedicellaris,1
Alexa grandiflora,1
Alibertia edulis,0
Amaioua guianensis,0
Ambelania acida,0
Amburana acreana,0
Anacardium spruceanum,1
Aniba canelilla,0
Aniba parviflora,0
Annona ambotay,0
Annona crassiflora,0
Annona duckei,0
Annona exsucca,0
Annona longifolia,0
Annona mucosa,0
Annona scandens,0
Annona sp.,0
Annona tenuiflora,0
Aparisthmium cordatum,0
Apeiba echinata,1
Apeiba membranacea,0
Apeiba petoumo,0
Apuleia leiocarpa,0
Aspidosperma excelsum,0
Aspidosperma nitidum,0
Aspidosperma parvifolium,0
Aspidosperma polyneuron,1
Aspidosperma spruceanum,0
Astrocaryum aculeatum,0
Astrocaryum gynacanthumhum,0
Astrocaryum murumuru,0
Astronium gracile,1
Astronium graveolens,1
Attalea maripa,0
Attalea speciosa,0
Bagassa guianensis,1
Balfourodendron riedelianum,1
Banara guianensis,0
Batesia floribunda,0
Bauhinia forficata,0
Bauhinia sp.,0
Bellucia grossularioides,0
Bertholletia excelsa,1
Bixa arborea,1
Bixa orellana,0
Bocageopsis multiflora,0
Bocageopsis pleiosperma,0
Bombax paraense,0
Bowdichia nitida,1
Brosimum acutifolium,1
Brosimum guianense,0
Brosimum obovata,0
Brosimum parinarioides,1
Brosimum rubescens,1
Buchenavia congesta,0
Byrsonima chrysophylla,0
Byrsonima crispa,0
Byrsonima densa,0
Byrsonima spicata,0
Calophyllum brasiliense,1
Calycophyllum megistocaulum,0
Capirona decorticans,0
Capirona huberiana,0
Caraipa grandifolia,1
Carapa guianensis,1
Caryocar glabum,1
Caryocar villosum,1
Casearia grandiflora,0
Casearia javitensis,0
Cassia fastuosa,0
Castilla ulei,0
Cecropia distachya,0
Cecropia engleriana,0
Cecropia ficifolia,0
Cecropia palmata,0
Cedrela odorata,0
Cedrelinga cateniformis,0
Ceiba pentandra,0
Chamaecrista scleroxylon,0
Chamaecrista xinguensis,0
Chimarrhis turbinata,0
Chloroleucon mangense,0
Chrysophyllum sanguinolentum,0
Chrysophyllum sp.,0
Citrus reticulata,0
Clarisia racemosa,0
Clitoria fairchildiana,0
Clusia insignis,0
Cochlospermum vitifolium,0
Colubrina glandulosa,0
Connarus fasciculatus,0
Copaifera reticulata,1
Cordia goeldiana,1
Cordia scabrifolia,0
Couepia racemosa,0
Couepia robusta,0
Couepia sp.,0
Couma guianensis,0
Couratari guianensis,1
Couratari multiflora,1
Couratari sp.,0
Couratari stellata,1
Coussarea brevicaulis,0
Croton matourensis,0
Croton urucurana,0
Dacryodes edilsonii,0
Dalbergia melanoxylon,1
Desmoncus giganteus,0
Dialium guianense,0
Dictyocaryum ptarianum,0
Dimorphandra macrostachya,0
Dinizia excelsa,1
Diospyros artanthifolia,0
Diospyros guianensis,0
Diospyros sp.,0
Diplotropis brasiliensis,0
Diplotropis sp.,0
Dipteryx odorata,1
Dipteryx sp.,0
Duckeodendron cestroides,0
Duguetia furfuracea,0
Duguetia stelechantha,0
Duguetia surinamensis,0
Ecclinusa ramiflora,0
Ecclinusa sp.,0
Elaeis oleifera,0
Endlicheria ruforamula,0
Endlicheria sp.,0
Endopleura uchi,0
Enterolobium maximum,1
Enterolobium schomburgkii,1
Eperua bijuga,0
Eriotheca globosa,1
Erisma uncinatum,1
Eschweilera amazonica,0
Eschweilera apiculata,0
Eschweilera coriacea,1
Eschweilera grandifolia,0
Eschweilera micrantha,0
Eschweilera ovata,0
Eschweilera parviflora,0
Eschweilera sp.,0
Esenbeckia febrifuga,0
Eugenia punicifolia,0
Euterpe oleracea,0
Euxylophora paraensis,1
Ficus broadwayi,0
Ficus maxima,0
Ficus trigona,0
Fusaea longifolia,0
Galipea sp.,0
Galipea trifoliata,0
Garcinia madruno,0
Garcinia sp.,0
Geissospermum sericeum,0
Glycydendron amazonicum,0
Goupia glabra,0
Guarea guidonia,0
Guatteria olivacea,0
Guatteria poeppigiana,0
Guatteria schomburgkiana,0
Guazuma ulmifolia,0
Gustavia poeppigiana,0
Handroanthus impetiginosus,1
Handroanthus serratifolius,1
