area,forma,fator,dim1_p1,dim2_p1,crit_p1_maior,dim1_p2,dim2_p2,crit_p2_maior
AND_A01,PLOT,,50,50,35,5,50,10
ANA_A01,PLOT,,50,50,10,,,
BON_A01,PLOT,,50,50,35,10,50,10
CAU_A01,PLOT,,20,500,35,2,500,10
CAU_A01_50,PLOT,,50,50,35,20,50,10
DUC_A01,DIAMETER DEPENDENT,10,500,,,,,5
DUC_A01b,PLOT,,50,50,35,20,50,10
FN_A01,PLOT,,50,50,35,5,50,10
FNA_A01,PLOT,,50,50,5,,,
FST_A01,PLOT,,50,50,35,5,50,10
HUM_A01,PLOT,,50,50,35,10,50,10
JAM_A01,DIAMETER DEPENDENT,10,500,,,,,
JAM_A02,DIAMETER DEPENDENT,10,500,,,,,
JAM_A02b,PLOT,,50,50,35,5,50,10
JAM_A03,PLOT,,50,50,35,5,50,10
PAR_A01,PLOT,,20,500,35,2,500,10
SAN_A01,PLOT,,50,50,35,5,50,10
SAN_A02,PLOT,,50,50,35,5,50,10
SFX_A01,PLOT,,40,40,10,,,
SFX_A02,PLOT,,40,40,10,,,
SFX_A03,PLOT,,40,40,10,,,
TAC_A01,PLOT,,30,30,5,,,
TAC_A01b,PLOT,,50,50,35,5,50,10
TAL_A01,PLOT,,50,50,35,10,50,10
TAN_A01,PLOT,,20,500,35,2,500,10
TAP_A01,DIAMETER DEPENDENT,10,500,,,,,5
TAP_A01b,PLOT,,50,50,10,,,
TAP_A03,PLOT,,50,50,10,,,
TAP_A04,DIAMETER DEPENDENT,10,500,,,,,5
TAP_A05,DIAMETER DEPENDENT,10,500,,,,,5
