Especie,GrupoEco
Abarema cochleata,Others
Abarema jupunba,Others
Abarema mataybifolia,Others
Abuta grandifolia,Others
Agonandra brasiliensis,Others
Aiouea sp.,Intermediate
Albizia pedicellaris,Others
Alexa grandiflora,Others
Alibertia edulis,Others
Amaioua guianensis,Others
Ambelania acida,Others
Amburana acreana,Others
Anacardium spruceanum,Others
Aniba canelilla,Others
Aniba parviflora,Others
Annona ambotay,Intermediate
Annona crassiflora,Intermediate
Annona duckei,Intermediate
Annona exsucca,Intermediate
Annona longifolia,Intermediate
Annona mucosa,Intermediate
Annona scandens,Intermediate
Annona sp.,Intermediate
Annona tenuiflora,Intermediate
Aparisthmium cordatum,Others
Apeiba echinata,Pioneer
Apeiba membranacea,Pioneer
Apeiba petoumo,Pioneer
Apuleia leiocarpa,Others
Aspidosperma excelsum,Others
Aspidosperma nitidum,Shade-tolerant
Aspidosperma parvifolium,Others
Aspidosperma polyneuron,Others
Aspidosperma spruceanum,Others
Astrocaryum aculeatum,Others
Astrocaryum gynacanthum,Others
Astrocaryum murumuru,Others
Astronium gracile,Others
Astronium graveolens,Others
Attalea maripa,Others
Attalea speciosa,Others
Bagassa guianensis,Pioneer
Balfourodendron riedelianum,Others
Banara guianensis,Others
Batesia floribunda,Others
Bauhinia forficata,Others
Bauhinia sp.,Others
Bellucia grossularioides,Pioneer
Bertholletia excelsa,Others
Bixa arborea,Pioneer
Bixa orellana,Others
Bocageopsis multiflora,Others
Bocageopsis pleiosperma,Others
Bombax paraense,Light-demanding
Bowdichia nitida,Shade-tolerant
Brosimum acutifolium,Others
Brosimum guianense,Others
Brosimum obovata,Intermediate
Brosimum parinarioides,Others
Brosimum rubescens,Others
Buchenavia congesta,Others
Byrsonima chrysophylla,Others
Byrsonima crispa,Others
Byrsonima densa,Others
Byrsonima spicata,Others
Calophyllum brasiliense,Intermediate
Calycophyllum megistocaulum,Others
Capirona decorticans,Others
Capirona huberiana,Others
Caraipa grandifolia,Light-demanding
Carapa guianensis,Intermediate
Caryocar glabum,Emergent
Caryocar villosum,Emergent
Casearia grandiflora,Others
Casearia javitensis,Others
Cassia fastuosa,Others
Castilla ulei,Others
Cecropia distachya,Others
Cecropia engleriana,Others
Cecropia ficifolia,Others
Cecropia palmata,Others
Cedrela odorata,Emergent
Cedrelinga cateniformis,Others
Ceiba pentandra,Others
Chamaecrista scleroxylon,Others
Chamaecrista xinguensis,Others
Chimarrhis turbinata,Others
Chloroleucon mangense,Others
Chrysophyllum sanguinolentum,Others
Chrysophyllum sp.,Others
Citrus reticulata,Others
Clarisia racemosa,Intermediate
Clitoria fairchildiana,Others
Clusia insignis,Others
Cochlospermum vitifolium,Others
Colubrina glandulosa,Others
Connarus fasciculatus,Others
Copaifera reticulata,Others
Cordia goeldiana,Others
Cordia scabrifolia,Others
Couepia racemosa,Others
Couepia robusta,Others
Couepia sp.,Others
Couma guianensis,Others
Couratari guianensis,Emergent
Couratari multiflora,Others
Couratari sp.,Others
Couratari stellata,Others
Coussarea brevicaulis,Others
Croton matourensis,Others
Croton urucurana,Others
Dacryodes edilsonii,Others
Dalbergia melanoxylon,Others
Desmoncus giganteus,Others
Dialium guianense,Intermediate
Dictyocaryum ptarianum,Others
Dimorphandra macrostachya,Others
Dinizia excelsa,Emergent
Diospyros artanthifolia,Others
