area.code,transect,tree,common.name,scientific.name,family.name,DBH,type,canopy,light,Dead,D.class,Hcom,Htot,RN,RS,RE,RW,Date,UTM.Easting,UTM.Northing
CAU_A01,T01,2,macucu,Licania guianensis,Chrysobalanaceae,10.3,O,S,2,FALSE,NA,4.59,7.83,2,1.8,1.3,0,20120127,778459.672909101,9586871.53888272
CAU_A01,T01,5,casca seca,Licania canescens,Chrysobalanaceae,14.6,O,S,2,FALSE,NA,9.16,10.27,1,1,1,1,20120127,778444.171199731,9586870.39949048
CAU_A01,T01,6,cajuacu,Anacardium spruceanum,Anacardiaceae,78.8,O,E,1,FALSE,NA,21.06,31.65,6.6,4.8,5.5,5.5,20120127,778443.529406442,9586872.46092168
CAU_A01,T01,7,breu branco,Protium paniculatum,Burseraceae,14.7,O,S,2,FALSE,NA,7.35,11.54,2.4,3.9,5.5,2.3,20120127,778443.224608688,9586869.53372241
CAU_A01,T01,9,breu branco,Protium paniculatum,Burseraceae,10.6,O,E,3,FALSE,NA,4.9,6.91,2,2,3,2.1,20120127,778436.194076747,9586869.45970252
CAU_A01,T01,10,caramuxi,Pouteria hispida,Sapotaceae,27.1,O,C,2,FALSE,NA,13.53,19.83,0,3,3.7,2.8,20120127,778433.713020659,9586868.99141672
CAU_A01,T01,12,casca seca,Licania canescens,Chrysobalanaceae,15.1,O,E,2,FALSE,NA,7.44,12.09,1.9,2.8,2.1,2,20120127,778427.156323433,9586869.34229905
CAU_A01,T01,13,jatereu,Lecythis idatimon,Lecythidaceae,16.5,O,S,2,FALSE,NA,7.61,11.46,2.3,1.4,0,3.2,20120127,778423.200922302,9586868.38152383
CAU_A01,T01,14,jatereu,Lecythis idatimon,Lecythidaceae,12,O,S,1,FALSE,NA,8.41,12.26,1.1,1,1,1,20120127,778417.191120421,9586868.0757733
CAU_A01,T01,15,parajuba,Manilkara bidentata,Sapotaceae,38.4,O,C,2,FALSE,NA,31.19,32.29,4,2.3,2.5,3.1,20120127,778412.709043676,9586867.47231312
CAU_A01,T01,16,guajara branco,Pouteria sp.,Sapotaceae,48.5,O,C,2,FALSE,NA,20.84,31.1,0,5.4,2.3,3,20120127,778413.879553545,9586872.46255177
CAU_A01,T01,17,seringueira,Hevea brasiliensis,Euphorbiaceae,50.3,O,E,1,FALSE,NA,24.5,33.43,4.5,4.3,3.9,5.8,20120127,778412.628164748,9586868.66958444
CAU_A01,T01,18,guajara branco,Pouteria sp.,Sapotaceae,41.9,O,C,2,FALSE,NA,18.7,28.84,5.7,3,3.2,4.4,20120127,778409.707512691,9586867.26955155
CAU_A01,T01,19,capueiro,Rinorea guianensis,Violaceae,11.4,O,S,2,FALSE,NA,7.49,10.57,3,2.1,3.2,3.7,20120127,778405.645351375,9586867.88917447
CAU_A01,T01,20,casca seca,Licania canescens,Chrysobalanaceae,15,O,S,2,FALSE,NA,9.49,14.79,3.5,5,3,4.8,20120127,778351.177658488,9586863.31570095
CAU_A01,T01,22,matamata,Eschweilera amazonica,Lecythidaceae,15.5,O,S,1,FALSE,NA,7.07,10.2,1.5,0,1.3,1.1,20120127,778317.133347684,9586861.41682694
CAU_A01,T01,23,jatereu,Lecythis idatimon,Lecythidaceae,35.2,O,C,1,FALSE,NA,20.19,37.54,5.8,3.4,3.5,7.1,20120127,778313.463063763,9586863.67458701
CAU_A01,T01,24,guajara branco,Pouteria sp.,Sapotaceae,59.3,O,C,1,FALSE,NA,10.17,24.67,6.6,0,2.3,3,20120127,778312.029697383,9586862.57548013
CAU_A01,T01,25,macucu,Licania guianensis,Chrysobalanaceae,11,O,S,2,FALSE,NA,6.72,11.57,2.1,1.2,3,2.8,20120127,778263.072629598,9586858.25799993
CAU_A01,T01,27,abiurana,Pouteria gongrijpii,Sapotaceae,52,O,C,2,FALSE,NA,18.97,36.95,4.3,0,3.5,6.6,20120127,778258.935250878,9586859.99108517
CAU_A01,T01,28,guajara branco,Pouteria sp.,Sapotaceae,52.2,O,C,1,FALSE,NA,24.58,33.93,4.9,5.6,3,3.5,20120127,778256.001119,9586858.79059751
CAU_A01,T01,29,morta,NA,NA,40.2,O,NA,NA,TRUE,4,NA,6.3,NA,NA,NA,NA,20120127,778246.95564347,9586856.39487043
CAU_A01,T01,33,ucurana,Sloanea guianensis,Elaeocarpaceae,40.6,O,C,2,FALSE,NA,17.53,26.17,7.8,3.4,2.5,5.6,20120127,778215.715883729,9586857.65888657
CAU_A01,T01,36,cajuacu,Anacardium spruceanum,Anacardiaceae,36.1,O,C,1,FALSE,NA,16.38,29.42,3.8,5.4,3.3,3,20120127,778197.278182333,9586854.50926996
CAU_A01,T01,37,macaranduba,Manilkara huberi,Sapotaceae,10.3,O,S,3,FALSE,NA,13.37,15.97,1,1.5,0.8,2,20120127,778193.291991799,9586852.39147714
CAU_A01,T01,38,matamata,Eschweilera amazonica,Lecythidaceae,27,O,S,2,FALSE,NA,17.45,22.52,3.1,2.1,4.9,2.7,20120127,778181.331781506,9586851.94802268
CAU_A01,T01,41,caramuxi,Pouteria hispida,Sapotaceae,46,O,C,2,FALSE,NA,20.35,31.98,2.8,4.3,5.1,2.6,20120127,778168.799677262,9586849.9712193
CAU_A01,T01,42,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,O,S,1,FALSE,NA,17.24,22.02,1.2,2.1,1.9,1.4,20120127,778159.590023264,9586849.7512677
CAU_A01,T01,43,morta,NA,NA,19.1,O,NA,NA,TRUE,4,NA,18.4,NA,NA,NA,NA,20120127,778153.62948293,9586848.83495167
CAU_A01,T01,45,sucupira,Diplotropis sp.,Fabaceae,17,O,S,1,FALSE,NA,2.52,7.85,0.6,0.3,0.4,0.5,20120127,778141.233164128,9586848.31756753
CAU_A01,T01,46,jatereu,Lecythis idatimon,Lecythidaceae,10,O,S,1,FALSE,NA,6.97,9.03,1.3,1.1,1,0.9,20120127,778134.603169893,9586847.61488971
CAU_A01,T01,47,matamata,Eschweilera parviflora,Lecythidaceae,43.5,O,C,1,FALSE,NA,22.08,34.35,5.3,3.5,3.2,2.8,20120127,778130.760357625,9586852.24365875
CAU_A01,T01,48,abiurana,Pouteria gongrijpii,Sapotaceae,38.5,O,C,2,FALSE,NA,22.27,29.33,5,1,1.9,2.1,20120127,778129.972010969,9586846.12650192
CAU_A01,T01,52,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,O,S,3,FALSE,NA,11.67,17.81,2.1,1.8,1,2.3,20120127,778127.077887668,9586846.32256953
CAU_A01,T01,53,matamata,Eschweilera amazonica,Lecythidaceae,46,O,E,1,FALSE,NA,29.3,34.83,3.4,2.9,3.3,2.9,20120127,778120.657978452,9586848.15615924
CAU_A01,T01,54,matamata,Eschweilera amazonica,Lecythidaceae,36.5,O,S,1,FALSE,NA,19.43,28.6,4.2,2.5,2.9,3.3,20120127,778112.712665565,9586846.30847709
CAU_A01,T01,59,matamata,Eschweilera amazonica,Lecythidaceae,22,O,S,2,FALSE,NA,11.02,19.12,2.8,2.8,2.5,3.3,20120127,778069.333841937,9586839.90090507
CAU_A01,T01,61,jatereu,Lecythis idatimon,Lecythidaceae,13,O,S,3,FALSE,NA,9.44,15.63,2.1,1,2.5,1.3,20120127,778051.822253755,9586837.94438492
CAU_A01,T01,63,guajara branco,Pouteria sp.,Sapotaceae,70,O,E,1,FALSE,NA,30.63,50.97,8.3,8.8,9.5,7.3,20120127,778040.887258829,9586841.71288637
CAU_A01,T01,65,capueiro,Rinorea guianensis,Violaceae,10.6,O,S,1,FALSE,NA,9.04,15.24,1.6,1.5,1.7,2.3,20120127,778025.302276813,9586835.13367363
CAU_A01,T01,66,cajuacu,Anacardium spruceanum,Anacardiaceae,18.6,O,S,2,FALSE,NA,11.61,18.21,1.4,1.8,1.3,1.4,20120127,778006.31727838,9586833.52379491
CAU_A01,T01,68,abiurana,Pouteria gongrijpii,Sapotaceae,24.2,O,S,3,FALSE,NA,14.18,19.46,0.9,2.9,1,1.1,20120127,777996.824779165,9586832.71885555
CAU_A01,T01,70,inga,Inga marginata,Fabaceae,17,O,S,2,FALSE,NA,16.27,21.32,1,2.1,2,2.1,20120127,777981.723203826,9586830.61551957
CAU_A01,T01,73,matamata,Eschweilera parviflora,Lecythidaceae,33.1,O,S,2,FALSE,NA,13.08,27.87,3.8,2.9,3.5,3.2,20120127,777972.850984633,9586828.47652422
CAU_A01,T01,74,sucupira,Diplotropis sp.,Fabaceae,40.9,O,E,2,FALSE,NA,21.18,30.19,9.7,8.8,6.4,7.9,20120127,777982.271254701,9586825.44448096
CAU_A01,T01,77,morta,NA,NA,20.2,O,NA,NA,TRUE,4,NA,10.7,NA,NA,NA,NA,20120127,778008.758909544,9586833.07864993
