area,plot,tree,common.name,scientific.name,family.name,DBH,type,Dead,D.class,date,UTM.Easting,UTM.Northing
DUC_A01,2,001a,macucu,Licania guianensis,Chrysobalanaceae,49.6,O,FALSE,NA,20160824,840127.0705,9674180.998
DUC_A01,2,001b,uxirana,Sacoglottis guianensis,Humiriaceae,43.6,O,FALSE,NA,20160824,840098.9678,9674177.868
DUC_A01,2,002a,mapatirana,Pourouma minor,Urticaceae,31.5,O,FALSE,NA,20160824,840126.4377,9674180.705
DUC_A01,2,002b,abiurana,Pouteria gongrijpii,Sapotaceae,39.2,O,FALSE,NA,20160824,840109.4829,9674171.803
DUC_A01,2,003a,roxinho,Peltogyne lecointei,Fabaceae,10,O,FALSE,NA,20160824,840125.6847,9674181.313
DUC_A01,2,003b,morta,NA,NA,47.5,O,TRUE,3,20160824,840108.5953,9674164.922
DUC_A01,2,004a,breu branco,Protium paniculatum,Burseraceae,10.4,O,FALSE,NA,20160824,840121.6534,9674182.069
DUC_A01,2,004b,mandioqueira,Qualea paraensis,Vochysiaceae,91.1,O,FALSE,NA,20160824,840104.6273,9674162.057
DUC_A01,2,005a,breu branco,Protium paniculatum,Burseraceae,12.6,O,FALSE,NA,20160824,840124.4989,9674176.588
DUC_A01,2,005b,merauba,Mouriri collocarpa,Melastomataceae,39.6,O,FALSE,NA,20160824,840101.3595,9674162.085
DUC_A01,2,006a,matamata preto,Eschweilera ovata,Lecythidaceae,10.1,O,FALSE,NA,20160824,840125.5157,9674174.195
DUC_A01,2,006b,tamaguare,NA,NA,49.4,O,FALSE,NA,20160824,840098.799,9674162.781
DUC_A01,2,007a,guajara branco,Pouteria sp.,Sapotaceae,43.8,O,FALSE,NA,20160824,840129.2892,9674167.459
DUC_A01,2,007b,tento,Ormosia grossa,Fabaceae,58,O,FALSE,NA,20160824,840115.3264,9674157.288
DUC_A01,2,008a,louro preto,Ocotea cernua,Lauraceae,10.1,O,FALSE,NA,20160824,840129.6711,9674166.442
DUC_A01,2,008b,mandioqueira,Qualea paraensis,Vochysiaceae,52,O,FALSE,NA,20160824,840105.793,9674140.291
DUC_A01,2,009a,iperana,Eperua bijuga,Fabaceae,33.7,O,FALSE,NA,20160824,840131.6045,9674166.598
DUC_A01,2,010a,muirapiranga,Brosimum rubescens,Moraceae,25.4,O,FALSE,NA,20160824,840132.578,9674163.94
DUC_A01,2,011a,breu branco,Protium paniculatum,Burseraceae,21.9,O,FALSE,NA,20160824,840130.7248,9674163.112
DUC_A01,2,012a,ucuuba da varzea,NA,NA,27.2,O,FALSE,NA,20160824,840130.9237,9674162.844
DUC_A01,2,013a,macucu,Licania guianensis,Chrysobalanaceae,34,O,FALSE,NA,20160824,840130.5667,9674158.653
DUC_A01,2,014a,pataua,Oenocarpus bataua,Arecaceae,19.5,P,FALSE,NA,20160824,840130.401,9674158.58
DUC_A01,2,015a,seringueira,Hevea brasiliensis,Euphorbiaceae,49.4,O,FALSE,NA,20160824,840126.0146,9674153.337
DUC_A01,2,016a,iperana,Eperua bijuga,Fabaceae,22,O,FALSE,NA,20160824,840136.3746,9674145.698
DUC_A01,2,017a,tamaguare,NA,NA,18.5,O,FALSE,NA,20160824,840139.0329,9674143.646
DUC_A01,2,018a,carana,NA,NA,12.9,O,FALSE,NA,20160824,840137.2526,9674139.242
DUC_A01,2,019a,morta,NA,NA,13.7,O,TRUE,1,20160824,840137.2162,9674139.109
DUC_A01,2,020a,morta,NA,NA,16.1,O,TRUE,1,20160824,840137.1405,9674139.077
DUC_A01,2,021a,muirapiranga,Brosimum rubescens,Moraceae,18.3,O,FALSE,NA,20160824,840127.4822,9674135.129
DUC_A01,2,022a,fava rosa,NA,NA,16.2,O,FALSE,NA,20160824,840126.9463,9674141.662
DUC_A01,2,023a,guajara branco,Pouteria sp.,Sapotaceae,32.4,O,FALSE,NA,20160824,840126.7735,9674142.055
DUC_A01,2,024a,pataua,Oenocarpus bataua,Arecaceae,20.9,P,FALSE,NA,20160824,840126.5927,9674142.679
DUC_A01,2,025a,louro preto,Ocotea cernua,Lauraceae,10.2,O,FALSE,NA,20160824,840125.5431,9674145.501
DUC_A01,2,026a,inga branco,Inga thibaudiana,Fabaceae,11.3,O,FALSE,NA,20160824,840126.1705,9674147.765
DUC_A01,2,027a,pataua,Oenocarpus bataua,Arecaceae,20.2,P,FALSE,NA,20160824,840122.2905,9674147.248
DUC_A01,2,028a,mamorana,Eriotheca globosa,Malvaceae,10.8,O,FALSE,NA,20160824,840122.7035,9674145.908
DUC_A01,2,029a,pataua,Oenocarpus bataua,Arecaceae,19.3,P,FALSE,NA,20160824,840124.116,9674150.975
DUC_A01,2,030a,ucuubarana,Iryanthera paraensis,Myristicaceae,10.8,O,FALSE,NA,20160824,840123.0014,9674151.308
DUC_A01,2,031a,cumaru,Dipteryx odorata,Fabaceae,40,O,FALSE,NA,20160824,840122.6137,9674152.193
DUC_A01,2,032a,pataua,Oenocarpus bataua,Arecaceae,15.4,P,FALSE,NA,20160824,840124.2517,9674152.914
DUC_A01,2,033a,pataua,Oenocarpus bataua,Arecaceae,16,P,FALSE,NA,20160824,840123.9772,9674156.795
DUC_A01,2,034a,macucu,Licania guianensis,Chrysobalanaceae,19.4,O,FALSE,NA,20160824,840123.1453,9674156.425
DUC_A01,2,035a,axixa,Sterculia pruriens,Malvaceae,55.4,O,FALSE,NA,20160824,840120.0157,9674161.39
DUC_A01,2,036a,mandioqueira,Qualea paraensis,Vochysiaceae,24.4,O,FALSE,NA,20160824,840120.8839,9674164.141
DUC_A01,2,037a,tamaguare,NA,NA,27,O,FALSE,NA,20160824,840120.9698,9674164.18
DUC_A01,2,038a,morta,NA,NA,24,O,TRUE,1,20160824,840117.2281,9674163.787
DUC_A01,2,039a,morta,NA,NA,38.8,O,TRUE,4,20160824,840116.7175,9674170.522
DUC_A01,2,040a,tinteiro,Miconia poeppigii,Melastomataceae,36.3,O,FALSE,NA,20160824,840114.0724,9674170.728
DUC_A01,2,041a,ucurana,Sloanea guianensis,Elaeocarpaceae,27,O,FALSE,NA,20160824,840113.6464,9674172.187
DUC_A01,2,042a,pincel de macaco,NA,NA,17.2,O,FALSE,NA,20160824,840112.7145,9674175.306
DUC_A01,2,043a,pintadinho,Poeppigia procera,Fabaceae,47.9,O,FALSE,NA,20160824,840116.7797,9674178.02
DUC_A01,2,044a,guajara branco,Pouteria sp.,Sapotaceae,33,O,FALSE,NA,20160824,840115.4202,9674181.31
DUC_A01,2,045a,breu branco,Protium paniculatum,Burseraceae,10.8,O,FALSE,NA,20160824,840115.3378,9674181.509
DUC_A01,2,046a,envira,Xylopia sp.,Annonaceae,22.7,O,FALSE,NA,20160824,840108.7275,9674181.859
DUC_A01,4,001a,joao mole,Neea oppositifolia,Nyctaginaceae,19.1,O,FALSE,NA,20160830,841204.2869,9674667.625
DUC_A01,4,001b,quinarana,Geissospermum sericeum,Apocynaceae,43.8,O,FALSE,NA,20160830,841183.4839,9674639.903
DUC_A01,4,002a,matamata preto,Eschweilera ovata,Lecythidaceae,11.6,O,FALSE,NA,20160830,841205.6452,9674668.532
DUC_A01,4,002b,cupiuba,Goupia glabra,Goupiaceae,51,O,FALSE,NA,20160830,841202.9324,9674628.956
DUC_A01,4,003a,ripeira,Eschweilera micrantha,Lecythidaceae,35.2,O,FALSE,NA,20160830,841203.7324,9674662.782
DUC_A01,4,003b,abiurana,Pouteria gongrijpii,Sapotaceae,44.5,O,FALSE,NA,20160830,841206.2026,9674625.996
DUC_A01,4,004a,breu brrote,NA,NA,16.6,O,FALSE,NA,20160830,841202.1322,9674661.751
DUC_A01,4,004b,mamorana,Eriotheca globosa,Malvaceae,63.3,O,FALSE,NA,20160830,841207.7528,9674621.732
DUC_A01,4,005a,ripeira,Eschweilera micrantha,Lecythidaceae,16.2,O,FALSE,NA,20160830,841202.0576,9674661.708
DUC_A01,4,005b,inga vermelho,Inga alba,Fabaceae,44.3,O,FALSE,NA,20160830,841200.8213,9674613.783
DUC_A01,4,006a,louro cheiroso,Diospyros artanthifolia,Ebenaceae,11,O,FALSE,NA,20160830,841203.5034,9674660.628
DUC_A01,4,006b,matamata vermelho,Eschweilera coriacea,Lecythidaceae,57.3,O,FALSE,NA,20160830,841191.9934,9674620.854
DUC_A01,4,007a,breu branco,Protium paniculatum,Burseraceae,10.6,O,FALSE,NA,20160830,841203.2784,9674660.5
DUC_A01,4,007b,abiurana,Pouteria gongrijpii,Sapotaceae,54.3,O,FALSE,NA,20160830,841187.4799,9674627.355
DUC_A01,4,008a,matamata preto,Eschweilera ovata,Lecythidaceae,11.2,O,FALSE,NA,20160830,841202.6512,9674659.806
DUC_A01,4,008b,seringarana,Micrandra minor,Euphorbiaceae,42.3,O,FALSE,NA,20160830,841185.9317,9674628.856
DUC_A01,4,009a,jataua,Trichilia micrantha,Meliaceae,17.2,O,FALSE,NA,20160830,841202.2694,9674659.812
DUC_A01,4,009b,seringarana,Micrandra minor,Euphorbiaceae,47.3,O,FALSE,NA,20160830,841180.8783,9674644.624
DUC_A01,4,010a,abacabeira,NA,NA,10.6,O,FALSE,NA,20160830,841209.6385,9674661.973
DUC_A01,4,011a,breu barrote,Tetragastris panamensis,Burseraceae,19,O,FALSE,NA,20160830,841206.5499,9674656.745
DUC_A01,4,012a,jarana vermelha,NA,NA,73.9,O,FALSE,NA,20160830,841208.7683,9674654.061
DUC_A01,4,013a,tento,Ormosia coccinea,Fabaceae,30.1,O,FALSE,NA,20160830,841213.318,9674654.093
DUC_A01,4,014a,breu branco,Protium paniculatum,Burseraceae,12.9,O,FALSE,NA,20160830,841210.8701,9674651.86
DUC_A01,4,015a,mamorana,Eriotheca globosa,Malvaceae,17,O,FALSE,NA,20160830,841211.7379,9674650.434
DUC_A01,4,016a,andirobarana,Guarea guidonia,Meliaceae,18,O,FALSE,NA,20160830,841211.6241,9674650.26
DUC_A01,4,017a,taguari,NA,NA,10.4,O,FALSE,NA,20160830,841208.9517,9674645.713
DUC_A01,4,018a,abiurana vermelha,Pouteria gongrijpii,Sapotaceae,42.5,O,FALSE,NA,20160830,841208.9579,9674645.274
DUC_A01,4,019a,joao mole,Neea oppositifolia,Nyctaginaceae,16.8,O,FALSE,NA,20160830,841217.0178,9674646.785
DUC_A01,4,020a,abiurana vermelha,Pouteria gongrijpii,Sapotaceae,18,O,FALSE,NA,20160830,841216.3289,9674645.529
DUC_A01,4,021a,breu branco,Protium paniculatum,Burseraceae,10.9,O,FALSE,NA,20160830,841215.9431,9674644.88
DUC_A01,4,022a,morta,NA,NA,12,O,TRUE,2,20160830,841214.2889,9674643.343
DUC_A01,4,023a,tanenbuco amarelo,NA,NA,49.1,O,FALSE,NA,20160830,841213.7563,9674641.515
DUC_A01,4,024a,abiurana vermelha,Pouteria gongrijpii,Sapotaceae,11.2,O,FALSE,NA,20160830,841216.8685,9674643.142
DUC_A01,4,025a,muirapiranga,Brosimum rubescens,Moraceae,13.7,O,FALSE,NA,20160830,841216.8356,9674642.792
DUC_A01,4,026a,breu barrote,Tetragastris panamensis,Burseraceae,12.8,O,FALSE,NA,20160830,841215.4324,9674639.847
DUC_A01,4,027a,coco pau,Couepia robusta,Chrysobalanaceae,41.6,O,FALSE,NA,20160830,841214.1842,9674639.531
DUC_A01,4,028a,abacabeira,NA,NA,13.8,O,FALSE,NA,20160830,841214.2852,9674637.382
DUC_A01,4,029a,abiurana branca,Pouteria guianensis,Sapotaceae,20.7,O,FALSE,NA,20160830,841215.7124,9674636.466
DUC_A01,4,030a,louro pimenta,Ocotea canaliculata,Lauraceae,34.4,O,FALSE,NA,20160830,841215.0271,9674635.566
DUC_A01,4,031a,abiurana branca,Pouteria guianensis,Sapotaceae,22,O,FALSE,NA,20160830,841216.9097,9674634.329
DUC_A01,4,032a,caripe,Licania octandra,Chrysobalanaceae,12.6,O,FALSE,NA,20160830,841219.6309,9674636.482
DUC_A01,4,033a,envira preta,Guatteria schomburgkiana,Annonaceae,14,O,FALSE,NA,20160830,841220.8176,9674633.553
DUC_A01,4,034a,breu barrote,Tetragastris panamensis,Burseraceae,19.7,O,FALSE,NA,20160830,841216.5906,9674631.757
DUC_A01,4,035a,abiurana,Pouteria gongrijpii,Sapotaceae,11.9,O,FALSE,NA,20160830,841216.5808,9674628.043
DUC_A01,4,036a,breu branco,Protium paniculatum,Burseraceae,25.2,O,FALSE,NA,20160830,841216.6608,9674627.647
DUC_A01,4,037a,acaizeiro,NA,NA,10.1,O,FALSE,NA,20160830,841224.2841,9674631.206
DUC_A01,4,038a,inhare,Helicostylis tomentosa,Moraceae,10.1,O,FALSE,NA,20160830,841222.8852,9674628.975
DUC_A01,4,039a,capueiro,Rinorea guianensis,Violaceae,10,O,FALSE,NA,20160830,841222.8872,9674628.538
DUC_A01,4,040a,envira preta,Guatteria schomburgkiana,Annonaceae,11.7,O,FALSE,NA,20160830,841223.6456,9674626.718
DUC_A01,4,041a,louro preto,Nectandra cuspidata,Lauraceae,10.5,O,FALSE,NA,20160830,841226.7564,9674626.478
DUC_A01,4,042a,inga xixica,Inga heterophylla,Fabaceae,10.2,O,FALSE,NA,20160830,841226.631,9674626.308
DUC_A01,4,043a,sucupira preta,Bowdichia nitida,Fabaceae,26.7,O,FALSE,NA,20160830,841215.5149,9674622.1
DUC_A01,4,044a,abiurana vermelha,Pouteria gongrijpii,Sapotaceae,47,O,FALSE,NA,20160830,841213.5766,9674620.725
DUC_A01,4,045a,breu barrote,Tetragastris panamensis,Burseraceae,14.5,O,FALSE,NA,20160830,841213.4533,9674620.773
DUC_A01,4,046a,liana,NA,NA,17.7,L,FALSE,NA,20160830,841210.8573,9674621.116
DUC_A01,4,047a,tento,Ormosia grossa,Fabaceae,15.2,O,FALSE,NA,20160830,841209.1993,9674620.732
DUC_A01,4,048a,breu barrote,Tetragastris panamensis,Burseraceae,14.7,O,FALSE,NA,20160830,841209.961,9674624.756
DUC_A01,4,049a,jataua,Trichilia micrantha,Meliaceae,28.7,O,FALSE,NA,20160830,841208.2457,9674628.639
DUC_A01,4,050a,inhare,Helicostylis tomentosa,Moraceae,10.5,O,FALSE,NA,20160830,841205.7345,9674632.979
DUC_A01,4,051a,acariquara,Minquartia guianensis,Olacaceae,42.8,O,FALSE,NA,20160830,841202.277,9674636.378
DUC_A01,4,052a,abiurana,Pouteria gongrijpii,Sapotaceae,35.8,O,FALSE,NA,20160830,841193.7009,9674638.085
DUC_A01,4,053a,fava saboeiro,Abarema jupunba,Fabaceae,12.3,O,FALSE,NA,20160830,841203.3394,9674643.693
DUC_A01,4,054a,inhare,Helicostylis tomentosa,Moraceae,15.3,O,FALSE,NA,20160830,841203.4177,9674643.735
DUC_A01,4,055a,morta,NA,NA,10.8,O,TRUE,1,20160830,841202.1209,9674645.994
DUC_A01,4,056a,matamata preto,Eschweilera ovata,Lecythidaceae,31.9,O,FALSE,NA,20160830,841200.9903,9674646.804
DUC_A01,4,057a,parajuba,Manilkara bidentata,Sapotaceae,13.1,O,FALSE,NA,20160830,841200.3565,9674649.311
DUC_A01,4,058a,tento,Ormosia grossa,Fabaceae,12.1,O,FALSE,NA,20160830,841200.2011,9674649.446
DUC_A01,4,059a,jarana,Lecythis lurida,Lecythidaceae,37.8,O,FALSE,NA,20160830,841200.4933,9674651.149
DUC_A01,4,060a,matamata,Eschweilera parviflora,Lecythidaceae,15.2,O,FALSE,NA,20160830,841200.4214,9674650.668
DUC_A01,4,061a,mandioqueira,Qualea paraensis,Vochysiaceae,61.1,O,FALSE,NA,20160830,841199.2178,9674651.873
DUC_A01,4,062a,abiurana branca,Pouteria guianensis,Sapotaceae,13.5,O,FALSE,NA,20160830,841195.936,9674651.357
DUC_A01,4,063a,ucuuba vermelha,Virola mollissima,Myristicaceae,11.9,O,FALSE,NA,20160830,841196.425,9674656.037
DUC_A01,4,064a,tento,Ormosia coccinea,Fabaceae,27.3,O,FALSE,NA,20160830,841196.006,9674658.675
DUC_A01,4,065a,matamata preto,Eschweilera ovata,Lecythidaceae,43,O,FALSE,NA,20160830,841193.6544,9674657.654
