area,transect,tree,common_name,scienfic_name,family_name,WSD,DBH,BA,AGB,type,canopy,Light,Dead,D_class,plot_code,Hcom,Htot,RN,RS,RE,RW,Date,UTM_Easting,UTM_Northing
FNA_A01,T01,1,MORTA,NA,NA,,6.3,0.003117245,0.0047418,O,NA,NA,D,3,T01 P1,NA,4.46,NA,NA,NA,NA,20131019,715679.7056,8617104.557
FNA_A01,T01,2,MORTA,NA,NA,,9.1,0.006503882,0.014259592,O,NA,NA,D,4,T01 P1,NA,9.5,NA,NA,NA,NA,20131019,715680.2481,8617104.949
FNA_A01,T01,3,MORTA,NA,NA,,13.7,0.014741138,0.022395566,O,NA,NA,D,4,T01 P1,NA,6.07,NA,NA,NA,NA,20131019,715676.4788,8617105.656
FNA_A01,T01,4,MORTA,NA,NA,,6.6,0.003421194,0.005589774,O,NA,NA,D,3,T01 P1,NA,4.86,NA,NA,NA,NA,20131019,715680.411,8617106.393
FNA_A01,T01,5,MORTA,NA,NA,,5.4,0.002290221,0.004430187,O,NA,NA,D,3,T01 P1,NA,5.98,NA,NA,NA,NA,20131019,715679.9634,8617109.056
FNA_A01,T01,6,MORTA,NA,NA,,6.2,0.003019071,0.005143372,O,NA,NA,D,3,T01 P1,NA,5.12,NA,NA,NA,NA,20131019,715680.6854,8617110.793
FNA_A01,T01,7,MORTA,NA,NA,,6.8,0.003631681,0.005437994,O,NA,NA,D,3,T01 P1,NA,4.37,NA,NA,NA,NA,20131019,715679.4661,8617112.015
FNA_A01,T01,8,MORTA,NA,NA,,5.7,0.002551759,0.003928912,O,NA,NA,D,4,T01 P1,NA,6.17,NA,NA,NA,NA,20131019,715677.4917,8617111.695
FNA_A01,T01,9,MORTA,NA,NA,,5.8,0.002642079,0.003166704,O,NA,NA,D,3,T01 P1,NA,3.33,NA,NA,NA,NA,20131019,715679.2009,8617113.592
FNA_A01,T01,10,MORTA,NA,NA,,7.4,0.00430084,0.004821431,O,NA,NA,D,4,T01 P1,NA,4.18,NA,NA,NA,NA,20131019,715680.3538,8617112.766
FNA_A01,T01,11,MORTA,NA,NA,,71,0.395919214,1.02336457,O,NA,NA,D,3,T01 P1,NA,8.52,NA,NA,NA,NA,20131019,715679.293,8617119.077
FNA_A01,T01,12,MORTA,NA,NA,,15.2,0.018145839,0.033047805,O,NA,NA,D,4,T01 P1,NA,7.57,NA,NA,NA,NA,20131019,715677.2192,8617119.35
FNA_A01,T01,13,MORTA,NA,NA,0.58,18.5,0.026880252,0.041707423,O,NA,NA,D,3,T01 P1,NA,4.56,NA,NA,NA,NA,20131019,715693.0141,8617121.903
FNA_A01,T01,14,MORTA,NA,NA,0.58,27.6,0.05982849,0.328829029,O,NA,NA,D,3,T01 P1,NA,21.42,NA,NA,NA,NA,20131019,715695.9978,8617104.152
FNA_A01,T01,15,MORTA,NA,NA,0.58,10.4,0.008494867,0.012548255,O,NA,NA,D,3,T01 P1,NA,4.3,NA,NA,NA,NA,20131019,715712.6142,8617107.851
