area,plot_ID,tree,common_name,scientific_name,family_name,DBH,type,dead,d_class,Hcom,Htot,date,burnt_area,UTM_Easting,UTM_Northing
HUM_A01,1,65,MATA MATA,Eschweilera amazonica,Lecythidaceae,12.9,O,FALSE,NA,7.11,10.42,20140701,TRUE,646734.0354,8921462.621
HUM_A01,1,66,URUCI,Byrsonima crispa,Malpighiaceae,32.3,O,FALSE,NA,15.28,20.46,20140701,TRUE,646730.5238,8921463.746
HUM_A01,1,67,ENVIRA BRANCA,Annona exsucca,Annonaceae,20.3,O,FALSE,NA,8.37,18.23,20140701,TRUE,646732.3802,8921459.308
HUM_A01,1,68,AÇAI,Euterpe oleracea,Arecaceae,15.7,P,FALSE,NA,14.9,21.88,20140701,TRUE,646729.6473,8921457.1
HUM_A01,1,69,INGA,Inga marginata,Fabaceae,16.8,O,FALSE,NA,11.06,14.86,20140701,TRUE,646725.1324,8921454.069
HUM_A01,1,70,INGA,Inga marginata,Fabaceae,10.1,O,FALSE,NA,7.89,12.62,20140701,TRUE,646725.565,8921451.132
HUM_A01,1,71,URUCI,Byrsonima crispa,Malpighiaceae,31.2,O,FALSE,NA,11.9,22.07,20140701,TRUE,646725.4651,8921447.418
HUM_A01,1,72,BREU,Protium hepytaphillum ,Burseraceae,18.4,O,FALSE,NA,13.75,20.43,20140701,TRUE,646718.7887,8921444.788
HUM_A01,1,73,PINTADINHO,Poeppigia sp.,Fabaceae,23.5,O,FALSE,NA,11.43,18.81,20140701,TRUE,646717.6124,8921443.602
HUM_A01,1,74,BREU,Protium hepytaphillum ,Burseraceae,39.4,O,FALSE,NA,10.41,19.61,20140701,TRUE,646713.9571,8921444.845
HUM_A01,1,75,TARUMA,Vitex triflora,Lamiaceae,59.1,O,FALSE,NA,16.68,26.55,20140701,TRUE,646721.1845,8921441.164
HUM_A01,1,76,MERAUBA,Mouriri collocarpa,Melastomataceae,19.8,O,FALSE,NA,15.08,19.96,20140701,TRUE,646719.2453,8921438.865
HUM_A01,1,79,BREU,Protium hepytaphillum ,Burseraceae,13.5,O,FALSE,NA,10.46,13.68,20140701,TRUE,646716.7797,8921437.042
HUM_A01,1,80,ENVIRA SURUCUCU,Duguetia stelechantha,Annonaceae,11.1,O,FALSE,NA,13.15,16.25,20140701,TRUE,646717.4824,8921435.756
HUM_A01,1,81,BREU,Protium hepytaphillum ,Burseraceae,31.9,O,FALSE,NA,13.34,18.81,20140701,TRUE,646712.2965,8921432.622
HUM_A01,1,82,INGA BRANCO,Inga thibaudiana,Fabaceae,17.1,O,FALSE,NA,9.64,17.87,20140701,TRUE,646710.638,8921427.532
HUM_A01,1,83,TANIBUCA,Terminalia amazonia,Combretaceae,20.2,O,FALSE,NA,18.53,20.27,20140701,TRUE,646710.3074,8921426.693
HUM_A01,1,84,INGA,Inga marginata,Fabaceae,14.1,O,FALSE,NA,9.68,15.46,20140701,TRUE,646706.7811,8921420.121
HUM_A01,1,85,AMARELAO,Apuleia leiocarpa,Fabaceae,65,O,FALSE,NA,28.53,44.76,20140701,TRUE,646703.7451,8921424.554
HUM_A01,1,86,PAU DE REMO,Chimarrhis turbinata,Rubiaceae,52,O,FALSE,NA,18.22,24.21,20140701,TRUE,646683.4333,8921449.855
HUM_A01,1,87,INHARE,Helicostylis sp.,Moraceae,70,O,FALSE,NA,20.5,34.29,20140701,TRUE,646693.9587,8921461.861
HUM_A01,1,88,NA,NA,NA,41,O,TRUE,2,NA,18.09,20140701,TRUE,646687.6356,8921479.41
HUM_A01,1,89,FAVA AMARELA,Parkia sp.,Fabaceae,44.5,O,FALSE,NA,26.63,34.94,20140701,TRUE,646722.0013,8921458.418
HUM_A01,1,90,TARUMA,Vitex triflora,Lamiaceae,42.5,O,FALSE,NA,15.64,32.27,20140701,TRUE,646729.1049,8921458.094
HUM_A01,1,91,TAXI VERMELHO,Tachigali alba,Fabaceae,56.4,O,FALSE,NA,24.14,35.36,20140701,TRUE,646720.1937,8921470.086
