area;transect;tree;common_name;scientific_name;family_name;WSD;DBH;BA;AGB;area_sampled;BA_AS;AGB_AS;type;canopy;light;dead;d_class;Hcom;Htot;RN;RS;RE;RW;date;UTM_Easting;UTM_Northing;;;
JAM_A02;T01;1;ANGELIM PEDRA;Hymenolobium petraeum;Fabaceae;0.71;33.5;0.088141309;1.268348432;0.335;0.263108385;3.786114722;O;C;2;A;NA;19.02;31.16;4;2.6;3.2;2.5;20111206;498873.2601;8990947.521;;;
JAM_A02;T01;2;POROROCA;Dialium guianense;Fabaceae;0.89;23.1;0.041909631;0.581864085;0.231;0.181426976;2.518892143;O;C;2;A;NA;19.75;24.06;2.6;4.2;3.4;4;20111206;498872.7601;8990947.525;;;
JAM_A02;T01;3;AÇOITA CAVALO;Luehea sp.;Malvaceae;0.51;15.2;0.018145839;0.113753118;0.152;0.119380521;0.748375774;O;S;3;A;NA;13.39;19.09;1.2;1.7;2.2;2;20111206;498873.8432;8990933.416;;;
JAM_A02;T01;4;INHARE;Helicostylis sp.;Moraceae;0.65;24.4;0.046759465;0.408770873;0.244;0.191637152;1.675290461;O;S;3;A;NA;13.15;20.67;4.4;4;3.5;2.7;20111206;498873.6217;8990930.818;;;
JAM_A02;T01;5;INHARE;Helicostylis sp.;Moraceae;0.65;12.4;0.012076282;0.079177547;0.124;0.097389372;0.638528605;O;S;3;A;NA;11.97;15.5;1.4;1.6;2.4;1.8;20111206;498868.9119;8990929.657;;;
JAM_A02;T01;6;TATAJUBA;Bagassa guianensis;Moraceae;0.71;66;0.34211944;6.513891431;0.66;0.518362788;9.869532472;O;E;1;A;NA;26.04;41.62;6.5;4;4.8;6.4;20111206;498872.2363;8990920.529;;;
JAM_A02;T01;7;MATAMATA;Eschweilera parviflora;Lecythidaceae;0.89;9.7;0.007389811;0.121673756;0.097;0.076183622;1.25436862;O;S;3;A;NA;20.02;28.58;2.1;1.4;1.3;3.7;20111206;498874.9097;8990917.306;;;
JAM_A02;T01;8;MUIRATINGA;Brosimum rubescens ;Moraceae;0.83;39.2;0.120687423;0.912413417;0.392;0.30787608;2.327585248;O;C;2;A;NA;5.87;14.14;3.8;3.6;4.5;4.4;20111206;498873.3098;8990917.32;;;
JAM_A02;T01;9;MAPATIRANA;Pourouma minor;Urticaceae;0.44;16.3;0.020867244;0.098126942;0.163;0.128019901;0.602005781;O;S;2;A;NA;12.6;16.32;3.6;1.5;2.7;1;20111206;498873.2771;8990901.319;;;
JAM_A02;T01;10;TAXI VERMELHO;Tachigali alba;Fabaceae;0.56;57.1;0.256072003;3.335882431;0.571;0.448462351;5.842175886;O;E;1;A;NA;20.43;35.88;7.7;5.5;6;9;20111206;498872.3191;8990894.327;;;
JAM_A02;T01;11;ENVIRA BRANCA;Annona exsucca;Annonaceae;0.44;8.1;0.005152997;0.017716276;0.081;0.063617251;0.218719455;O;S;3;A;NA;5.96;11.99;1;1.1;1;1.5;20111206;498874.4008;8990892.11;;;
JAM_A02;T01;12;FREIJO BRANCO;Cordia scabrifolia;Boraginaceae;0.47;35.8;0.10065977;0.933947589;0.358;0.281172542;2.608792148;O;C;1;A;NA;18.59;30.2;2.4;3;3.3;3.4;20111206;498870.1222;8990882.645;;;
JAM_A02;T01;13;BREU BRANCO;Protium paniculatum;Burseraceae;0.49;18.5;0.026880252;0.141498495;0.185;0.14529866;0.764856731;O;S;3;A;NA;8.57;16.58;3.1;3.6;2.6;3.2;20111206;498873.6765;8990877.115;;;
JAM_A02;T01;14;ANGELIM RAJADO;Zygia racemosa;Fabaceae;0.75;20.7;0.033653526;0.289955175;0.207;0.16257742;1.400749639;O;S;2;A;NA;10.46;17.73;2.8;2;2.2;3.3;20111206;498874.1115;8990857.211;;;
JAM_A02;T01;15;INHARE;Helicostylis sp.;Moraceae;0.65;39.3;0.121303961;1.378565414;0.393;0.308661478;3.507800037;O;C;1;A;NA;22.79;26.87;3.5;1;4;5.5;20111206;498870.4586;8990850.841;;;
JAM_A02;T01;16;MUIRAPIRANGA;Brosimum rubescens;Moraceae;0.83;20.3;0.032365473;0.385366248;0.203;0.159435827;1.898355903;O;S;2;A;NA;13.22;22.27;3.2;2.5;2;1.6;20111206;498872.3507;8990837.825;;;
JAM_A02;T01;17;TAUARI ROSA;Couratari sp.;Lecythidaceae;0.54;46.8;0.172021047;2.201997075;0.468;0.36756634;4.705121955;O;E;1;A;NA;22.33;36.59;4.6;5.3;4.2;4.3;20111206;498874.0051;8990832.311;;;
JAM_A02;T01;18;CAUCHO;Castilla ulei;Moraceae;0.82;59.8;0.280861525;5.71911146;0.598;0.469668102;9.563731538;O;C;1;A;NA;28.54;38.32;5.1;3.5;8.4;5.6;20111206;498868.8315;8990823.454;;;
JAM_A02;T01;19;FAVA BRANCA;Parkia paraensis;Fabaceae;0.42;57.9;0.263297666;2.287944217;0.579;0.454745537;3.951544417;O;C;1;A;NA;16.58;32.31;5.6;5.6;9.8;4.5;20111206;498873.2264;8990822.817;;;
JAM_A02;T01;20;MARIA PRETA;Zizyphus itacaiunensis;Rhamnaceae;0.84;16.6;0.021642432;0.210703499;0.166;0.130376095;1.269298185;O;S;2;A;NA;14.38;17.94;2.3;4.2;2.7;3.4;20111206;498872.8015;8990819.821;;;
JAM_A02;T01;21;TAXI BRANCO;Tachigali paniculata;Fabaceae;0.56;28.5;0.063793966;0.759837607;0.285;0.223838477;2.666096866;O;C;3;A;NA;21.41;32.82;3;4.8;5.5;1.7;20111206;498872.8766;8990816.82;;;
JAM_A02;T01;22;ROXINHO;Peltogyne leicointei;Fabaceae;0.76;16.1;0.020358306;0.178523293;0.161;0.126449104;1.108840332;O;S;3;A;NA;12.62;17.73;4.5;2.6;4.4;3.8;20111206;498873.902;8990807.811;;;
JAM_A02;T01;23;TAXI PRETO;Tachigali myrmecophila;Fabaceae;0.48;7.6;0.00453646;0.015712151;0.076;0.05969026;0.206738823;O;S;2;A;NA;8.94;11.23;0.3;2;3.6;0.8;20111206;498873.3175;8990797.616;;;
JAM_A02;T01;24;CACAU;Theobroma glaucum;Malvaceae;0.53;17.1;0.022965828;0.140871205;0.171;0.134303086;0.823808218;O;S;2;A;NA;13.3;17.87;1.3;1.5;1.8;1.2;20111206;498873.0404;8990788.318;;;
JAM_A02;T01;25;INHARE;Helicostylis sp.;Moraceae;0.65;31;0.075476764;0.734957127;0.31;0.243473431;2.370829443;O;C;1;A;NA;14.18;23.03;2.6;3.5;3.2;2.5;20111206;498871.2012;8990771.532;;;
JAM_A02;T01;26;TAXI PRETO;Tachigali myrmecophila;Fabaceae;0.48;52.6;0.217300822;2.240886014;0.526;0.413119434;4.26023957;O;E;1;A;NA;29.27;33.43;1;3.5;3.6;9;20111206;498870.2001;8990759.34;;;
JAM_A02;T01;27;MUIRATINGA;Brosimum rubescens ;Moraceae;0.83;9.8;0.007542964;0.056456189;0.098;0.07696902;0.576083562;O;S;3;A;NA;9.66;14;2.4;1.8;1.3;2.7;20111206;498873.108;8990748.216;;;
JAM_A02;T01;28;FAVA BRANCA;Parkia paraensis;Fabaceae;0.42;80.9;0.514028175;4.684458189;0.809;0.635387114;5.790430395;O;E;1;A;NA;29.58;33.88;8.4;6.8;8.7;9.5;20111206;498873.0013;8990747.416;;;
JAM_A02;T01;29;TAXI PRETO;Tachigali myrmecophila;Fabaceae;0.48;48.4;0.183984232;1.861822028;0.484;0.380132711;3.846739727;O;E;1;A;NA;22.13;32.8;3.2;1.6;8.7;1;20111206;498872.3773;8990744.522;;;
JAM_A02;T01;30;MATAMATA JIBOIA;Eschweilera sp.;Lecythidaceae;0.83;12.2;0.011689866;0.065227579;0.122;0.095818576;0.534652289;O;S;3;A;NA;7.31;10.4;0.8;0.7;2;1;20111206;498867.565;8990743.061;;;
JAM_A02;T01;31;CACAU;Theobroma glaucum;Malvaceae;0.53;14.4;0.016286016;0.08778424;0.144;0.113097336;0.609612776;O;S;1;A;NA;13.33;15.7;8;1.2;0.7;1.2;20111206;498873.3259;8990738.313;;;
JAM_A02;T01;32;CASCA SECA;Licania canescens;Chrysobalanaceae;0.88;21;0.034636059;0.39732964;0.21;0.164933614;1.892045906;O;S;1;A;NA;13.52;20.11;1;1;1.1;1;20111206;498872.4789;8990708.519;;;
JAM_A02;T01;33;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;36.9;0.106940599;1.044177016;0.369;0.289811922;2.829748011;O;S;1;A;NA;12.75;21.29;2.2;2.2;2;5.8;20111206;498869.2292;8990702.546;;;
JAM_A02;T01;34;CACAU;Theobroma glaucum;Malvaceae;0.53;21.4;0.035968094;0.088000567;0.214;0.168075207;0.411217604;O;S;1;A;NA;2.64;7.13;1.2;1.1;1.3;1.3;20111206;498871.4846;8990671.756;;;
JAM_A02;T01;35;GUARUBA;Vochysia maxima;Vochysiaceae;0.49;28.1;0.062015824;0.604477735;0.281;0.220696884;2.151166318;O;S;2;A;NA;13.94;30.69;1.4;3.3;2;1;20111206;498871.6031;8990647.753;;;
JAM_A02;T01;36;COPAIBA;Copaifera reticulata;Fabaceae;0.61;57.6;0.260576261;4.620556822;0.576;0.452389342;8.021800039;O;E;1;A;NA;27.24;45.04;1.5;13.8;3.7;1.3;20111206;498865.0917;8990646.819;;;
JAM_A02;T01;37;PAPO DE MUTUM;Lacunaria jenmanii;Quiinaceae;0.8;6.3;0.003117245;0.015258664;0.063;0.049480084;0.242201011;O;S;2;A;NA;4.74;9.39;1;1.9;1;1.1;20111206;498872.574;8990636.743;;;
JAM_A02;T01;38;TAXI PRETO;Tachigali myrmecophila;Fabaceae;0.48;23;0.041547563;0.34685483;0.23;0.180641578;1.508064477;O;C;1;A;NA;15.24;27.06;2.8;3;3.6;2.8;20111206;498870.9652;8990618.958;;;
JAM_A02;T01;39;ACARIQUARA;Minquartia guianensis;Olacaceae;0.77;37.6;0.111036451;1.128244332;0.376;0.295309709;3.00064982;O;C;2;A;NA;12.13;20.36;6.5;4.4;4.7;2.7;20111206;498868.21;8990622.786;;;
JAM_A02;T01;40;MORTA;NI;NI;0.6;13.2;0.013684778;0.008933159;0.132;0.103672558;0.067675443;O;NA;NA;D;1;NA;1.52;NA;NA;NA;NA;20111206;498871.391;8990621.154;;;
JAM_A02;T01;41;PENTE DE MACACO;Apeiba echinata;Malvaceae;0.28;46.1;0.166913603;0.855894087;0.461;0.362068553;1.856603226;O;C;1;A;NA;19.1;28.7;4.4;6.6;5.7;4.2;20111206;498868.5697;8990593.781;;;
JAM_A02;T01;42;INGA BRANCO;Inga thibaudiana;Fabaceae;0.58;11.6;0.010568318;0.048037833;0.116;0.091106187;0.414119247;O;S;2;A;NA;8.47;12.17;0;3.3;0;1.8;20111206;498870.9441;8990583.057;;;
JAM_A02;T01;43;CASCA SECA;Licania canescens;Chrysobalanaceae;0.88;22.4;0.039408138;0.491565422;0.224;0.175929189;2.194488491;O;S;3;A;NA;17.73;21.87;5.5;4.9;4.5;5.5;20111206;498869.8667;8990576.467;;;
JAM_A02;T01;44;TENTO;Ormosia grossa;Fabaceae;0.62;17.4;0.023778715;0.136306571;0.174;0.13665928;0.783371097;O;S;2;A;NA;5.89;14.25;2;2.4;2.4;1.8;20111206;498870.1952;8990570.364;;;
JAM_A02;T01;45;QUARUBA;Vochysia guianensis;Vochysiaceae;0.51;36.9;0.106940599;1.199388307;0.369;0.289811922;3.250374816;O;S;1;A;NA;17.57;34.02;1;2;1;0.9;20111206;498869.0533;8990558.275;;;
JAM_A02;T01;46;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;19.5;0.029864765;0.272395545;0.195;0.153152642;1.396900229;O;S;1;A;NA;9.49;19.88;4.6;2.7;3.5;2.3;20111206;498869.3301;8990547.771;;;
JAM_A02;T01;47;ACARIQUARA;Minquartia guianensis;Olacaceae;0.77;34;0.090792028;1.02473131;0.34;0.267035376;3.013915619;O;S;1;A;NA;13.28;22.62;3.6;6.4;2.7;0;20111206;498869.3714;8990542.771;;;
JAM_A02;T01;48;TAXI PRETO;Tachigali myrmecophila;Fabaceae;0.48;38.6;0.117021185;1.420872132;0.386;0.303163691;3.681015885;O;C;1;A;NA;21.02;39.36;0;8.4;4.2;3.1;20111206;498865.7309;8990530.807;;;
JAM_A02;T01;49;INHARE;Helicostylis sp.;Moraceae;0.65;12.7;0.012667687;0.101451911;0.127;0.099745567;0.798833945;O;S;2;A;NA;13.16;18.94;1.5;1.9;2.8;1;20111206;498871.1898;8990518.751;;;
JAM_A02;T01;50;TAXI VERMELHO;Tachigali alba;Fabaceae;0.56;7;0.003848451;0.016846465;0.07;0.054977871;0.24066378;O;S;3;A;NA;9.23;12.06;4.3;4.1;4.3;0.8;20111206;498870.9787;8990500.753;;;
JAM_A02;T01;51;INAJA;Attalea maripa;Arecaceae;NA;24.2;0.045996058;0.119306214;0.242;0.190066356;0.493000886;P;S;1;A;NA;12.45;24.82;0.5;3;0.5;4;20111206;498870.3447;8990497.859;;;
JAM_A02;T01;52;UCUUBA;Virola melinoni;Myristicaceae;0.48;16.5;0.021382465;0.113109621;0.165;0.129590697;0.685512852;O;S;3;A;NA;8.91;17.14;0.3;1;0.8;0.5;20111206;498868.9462;8990489.472;;;
JAM_A02;T01;53;UCUUBA;Virola melinoni;Myristicaceae;0.48;8.7;0.005944679;0.021178383;0.087;0.06832964;0.243429694;O;S;3;A;NA;5.76;11.54;1.6;1.6;1.3;1.1;20111206;498870.4558;8990481.757;;;
JAM_A02;T01;54;MUIRATINGA;Brosimum rubescens ;Moraceae;0.83;30.5;0.073061664;1.014738777;0.305;0.23954644;3.327012385;O;S;2;A;NA;15.83;25.97;1.8;2;2.4;1;20111206;498866.6091;8990477.795;;;
JAM_A02;T01;55;MUIRATINGA;Brosimum rubescens ;Moraceae;0.83;13.8;0.014957123;0.136647772;0.138;0.108384947;0.99020125;O;S;3;A;NA;10.78;17.08;6.8;2.2;5.7;5;20111206;498869.0054;8990477.471;;;
JAM_A02;T01;56;TAXI VERMELHO;Tachigali alba;Fabaceae;0.56;37.7;0.111627856;1.301682488;0.377;0.296095108;3.452738695;O;C;1;A;NA;20.09;32.11;3.7;4.6;3.8;3.8;20111206;498868.782;8990475.473;;;
JAM_A02;T01;57;BREU DE LEITE;Thyrsodium paraense;Anacardiaceae;0.61;7.3;0.004185387;0.015577582;0.073;0.057334066;0.213391534;O;S;3;A;NA;5.07;9.36;1.5;1.1;1.8;0.8;20111206;498870.0151;8990469.761;;;
