area,plot,tree,common.name,scientific.name,family.name,DBH.2014,type,dead.2014,d.class.2014,Hcom.2014,Htot.2014,RN.2014,RS.2014,RE.2014,RW.2014,dates.2014,DBH.2016,dead.2016,dates.2016,UTM.Easting,UTM.Northing
SAN_A01,1,1,urucurana,Sloanea guianensis,Elaeocarpaceae,10.8,O,FALSE,NA,2.47,3.38,0.5,0.5,0.6,0.3,20141113,NA,TRUE,20161017,735903.0405,9669925.923
SAN_A01,1,2,embauba,Cecropia ficifolia,Urticaceae,16.4,O,FALSE,NA,11.52,13.19,0.7,1.5,1.5,0.5,20141113,17.2,FALSE,20161017,735901.5968,9669928.078
SAN_A01,1,3,inga vermelho,Inga alba,Fabaceae,31,O,FALSE,NA,9.48,24.19,7.8,4.6,3,4.5,20141113,33.7,FALSE,20161017,735898.1384,9669926.374
SAN_A01,1,4,envira preta,Guatteria schomburgkiana,Annonaceae,10.2,O,FALSE,NA,9.51,14.17,1.3,1.2,1,1.2,20141113,NA,TRUE,20161017,735894.0366,9669926.751
SAN_A01,1,5,abiurana branca,Pouteria guianensis,Sapotaceae,11.6,O,FALSE,NA,4.3,9.39,1,1,0.8,1.2,20141113,12.2,FALSE,20161017,735893.9963,9669928.783
SAN_A01,1,6,parapara,Jacaranda copaia,Bignoniaceae,21,O,FALSE,NA,14.86,18.36,1.8,0.8,1.2,0.8,20141113,22.2,FALSE,20161017,735889.1038,9669926.188
SAN_A01,1,7,parapara,Jacaranda copaia,Bignoniaceae,14.2,O,FALSE,NA,14.75,17.47,1.8,1,0.8,1.3,20141113,14.2,FALSE,20161017,735888.4342,9669927.266
SAN_A01,1,8,parapara,Jacaranda copaia,Bignoniaceae,21.1,O,FALSE,NA,14.84,22.03,1.4,2,1,2.3,20141113,21.4,FALSE,20161017,735888.2032,9669926.27
SAN_A01,1,9,urucurana,Sloanea guianensis,Elaeocarpaceae,13.8,O,FALSE,NA,3.65,10.36,3.2,3,2.7,4.3,20141113,NA,TRUE,20161017,735887.8983,9669925.485
SAN_A01,1,10,embauba,Cecropia ficifolia,Urticaceae,20.7,O,FALSE,NA,4.91,5.67,0.6,0.4,0.5,0.5,20141113,20.6,FALSE,20161017,735879.5629,9669929.102
SAN_A01,1,11,urucurana,Sloanea guianensis,Elaeocarpaceae,11.1,O,FALSE,NA,1.36,2.73,NA,NA,NA,NA,20141113,NA,TRUE,20161017,735879.5026,9669929.414
SAN_A01,1,12,joao-mole,Neea oppositifolia,Nyctaginaceae,10.7,O,FALSE,NA,3.24,4.8,1.6,2,1.4,2.2,20141113,10.8,FALSE,20161017,735874.2951,9669930.612
SAN_A01,1,13,urucurana,Sloanea guianensis,Elaeocarpaceae,13.4,O,FALSE,NA,9.27,13.6,1,1.7,1.2,1.8,20141113,16.5,FALSE,20161017,735869.7293,9669932.061
SAN_A01,1,14,fava-barbatimao,Stryphnodendron pulcherrimum,Fabaceae,23,O,FALSE,NA,9.49,14.36,2.7,2.2,2.3,2.6,20141113,24,FALSE,20161017,735871.9291,9669931.856
SAN_A01,1,15,embauba,Cecropia ficifolia,Urticaceae,26.1,O,FALSE,NA,11.68,19.06,4.3,3.5,3.6,2.4,20141113,27.3,FALSE,20161017,735860.422,9669929.84
SAN_A01,1,16,cucutitiriba,Pouteria sp.,Sapotaceae,10.2,O,FALSE,NA,2.96,4.97,1.3,0.8,2.8,1.3,20141113,11.2,FALSE,20161017,735858.1846,9669929.016
SAN_A01,1,17,embauba,Cecropia ficifolia,Urticaceae,10.3,O,FALSE,NA,7.91,10.67,0.7,0.6,2,0,20141113,10.4,FALSE,20161017,735856.4562,9669928.968
