area,group,plot,tree,common.name,scientific.name,family.name,DBH,type,dead,d.class,Hcom,Htot,RN,RS,RE,RW,dates,UTM.Easting,UTM.Northing
SAN_A02,1,1,1,inaja,Attalea maripa,Arecaceae,34.8,P,FALSE,NA,6.19,13.31,4.8,6,5,5.5,20141117,738320.1308,9636707.555
SAN_A02,1,1,2,inaja,Attalea maripa,Arecaceae,61.1,P,FALSE,NA,4.29,12.96,4.5,4.8,4,4.3,20141117,738327.3408,9636709.935
SAN_A02,1,1,3,inaja,Attalea maripa,Arecaceae,51,P,FALSE,NA,5.56,14.97,4.5,4.7,5.3,4.8,20141117,738327.5442,9636723.531
SAN_A02,1,1,4,inaja,Attalea maripa,Arecaceae,59,P,FALSE,NA,7.02,11.31,6.2,3.7,5,4.8,20141117,738329.0292,9636726.602
SAN_A02,1,1,5,embauba,Cecropia ficifolia,Urticaceae,15.2,O,FALSE,NA,7.59,10.82,2.3,1.8,3.4,2.4,20141117,738324.1923,9636734.259
SAN_A02,1,1,6,inaja,Attalea maripa,Arecaceae,70,P,FALSE,NA,3.85,12.06,5.7,5.7,5,5.8,20141117,738334.2502,9636741.065
SAN_A02,1,1,7,inaja,Attalea maripa,Arecaceae,54.1,P,FALSE,NA,4.49,8.92,4.2,3.5,3.7,4.5,20141117,738366.7782,9636742.973
SAN_A02,1,1,8,inaja,Attalea maripa,Arecaceae,52,P,FALSE,NA,2.95,11.53,3.6,4.6,4.7,3.8,20141117,738352.2998,9636744.493
SAN_A02,1,1,9,inaja,Attalea maripa,Arecaceae,55.4,P,FALSE,NA,2.39,11.71,2.7,4,2.7,4.8,20141117,738357.4421,9636743.743
SAN_A02,1,1,10,inaja,Attalea maripa,Arecaceae,65,P,FALSE,NA,4.12,14.89,4.6,4.2,4.8,4.4,20141117,738363.2255,9636747.846
SAN_A02,1,1,11,inaja,Attalea maripa,Arecaceae,55.2,P,FALSE,NA,3.52,11.15,5.8,5.2,5.5,5,20141117,738363.3326,9636732.989
SAN_A02,1,1,12,inaja,Attalea maripa,Arecaceae,52.5,P,FALSE,NA,3.67,13.03,4,4.5,4.3,4.8,20141117,738342.9216,9636734.943
SAN_A02,1,1,13,inaja,Attalea maripa,Arecaceae,49,P,FALSE,NA,5.62,12.49,4.3,3.8,4.5,4.6,20141117,738363.4944,9636719.123
SAN_A02,1,1,14,inaja,Attalea maripa,Arecaceae,64.5,P,FALSE,NA,2.95,10.65,4.2,5,3.7,4.7,20141117,738361.8366,9636714.415
SAN_A02,1,1,15,inaja,Attalea maripa,Arecaceae,53.7,P,FALSE,NA,3.61,14.09,5,4.5,4.8,4.4,20141117,738358.9095,9636700.195
