Area,plot,tree,common.name,scientific.name,family.name,DBH,type,Dead,D.class,Hcom,Htot,RN,RS,RE,RW,date,UTM.Easting,UTM.Northing
TAC_A01,1,1,CACAU,Theobroma glaucum,Malvaceae,12.3,O,FALSE,NA,0,3.14,3.3,3.2,2.6,2.8,20140812,799902.9108,9725867.865
TAC_A01,1,2,AÇAI,Euterpe oleracea,Arecaceae,9.3,P,FALSE,NA,3.5,7.41,1.2,0.9,1.5,2.3,20140812,799903.7024,9725868.539
TAC_A01,1,3,AÇAI,Euterpe oleracea,Arecaceae,10.8,P,FALSE,NA,7.77,10.08,1.7,1.4,1.3,2,20140812,799903.8532,9725868.667
TAC_A01,1,4,AÇAI,Euterpe oleracea,Arecaceae,11.4,P,FALSE,NA,6.67,9.95,1.8,2.3,2.2,1.3,20140812,799904.004,9725868.796
TAC_A01,1,5,CACAU,Theobroma glaucum,Malvaceae,8.8,O,FALSE,NA,1.65,2.14,2.8,1.2,2.5,2.4,20140812,799905.0595,9725869.695
TAC_A01,1,6,AÇAI,Euterpe oleracea,Arecaceae,13,P,FALSE,NA,6.76,13.9,1.8,1.9,2.2,1.4,20140812,799906.2658,9725870.722
TAC_A01,1,7,AÇAI,Euterpe oleracea,Arecaceae,5.9,P,FALSE,NA,1.83,4.64,1.6,1.2,1.7,1.5,20140812,799906.2658,9725870.722
TAC_A01,1,8,CACAU,Theobroma glaucum,Malvaceae,13.7,O,FALSE,NA,1.82,5.1,2.3,1.5,3.3,1.2,20140812,799907.3213,9725871.62
TAC_A01,1,9,CACAU,Theobroma glaucum,Malvaceae,9.7,O,FALSE,NA,2.08,3.32,2.4,1.4,1.3,3,20140812,799909.583,9725873.546
TAC_A01,1,10,AÇAI,Euterpe oleracea,Arecaceae,13.6,P,FALSE,NA,6.49,12.13,2.2,1.8,2.2,2.3,20140812,799910.7139,9725874.509
TAC_A01,1,11,AÇAI,Euterpe oleracea,Arecaceae,11.4,P,FALSE,NA,6.16,9.43,1.2,3.3,1.8,2,20140812,799910.7139,9725874.509
TAC_A01,1,12,AÇAI,Euterpe oleracea,Arecaceae,9.7,P,FALSE,NA,6.19,8.92,2.3,2.2,3.3,1.2,20140812,799910.7893,9725874.574
TAC_A01,1,13,AÇAI,Euterpe oleracea,Arecaceae,10.1,P,FALSE,NA,3.19,7.78,1.7,1.8,1.7,1.8,20140812,799910.7893,9725874.574
TAC_A01,1,14,CACAU,Theobroma glaucum,Malvaceae,8.7,O,FALSE,NA,3.19,3.42,2.6,2.4,2.5,1.4,20140812,799911.8448,9725875.472
TAC_A01,1,15,CACAU,Theobroma glaucum,Malvaceae,9.6,O,FALSE,NA,2.09,4.48,1.9,1,2,1.8,20140812,799914.1066,9725877.398
TAC_A01,1,16,AÇAI,Euterpe oleracea,Arecaceae,12.4,P,FALSE,NA,7.49,10.91,1.7,2.8,1.3,2.7,20140812,799915.4636,9725878.554
TAC_A01,1,17,AÇAI,Euterpe oleracea,Arecaceae,15.6,P,FALSE,NA,6.14,9.14,2.8,1.8,2.4,1.8,20140812,799915.4636,9725878.554
TAC_A01,1,18,AÇAI,Euterpe oleracea,Arecaceae,9.7,P,FALSE,NA,4.04,9.77,0.8,2.7,1.8,1.8,20140812,799915.4636,9725878.554
TAC_A01,1,19,CACAU,Theobroma glaucum,Malvaceae,5.9,O,FALSE,NA,1.69,2.33,3,0.6,0.9,0.8,20140812,799916.5945,9725879.517
TAC_A01,1,20,AÇAI,Euterpe oleracea,Arecaceae,12.2,P,FALSE,NA,6.19,9.92,2.5,1.2,2,2.2,20140812,799917.7254,9725880.48
TAC_A01,1,21,AÇAI,Euterpe oleracea,Arecaceae,14.2,P,FALSE,NA,5.69,8.09,1.5,1.7,2.8,1.5,20140812,799917.7254,9725880.48
TAC_A01,1,22,AÇAI,Euterpe oleracea,Arecaceae,18.8,P,FALSE,NA,6.98,9.92,1.3,2.4,2,3,20140812,799917.7254,9725880.48
TAC_A01,1,23,AÇAI,Euterpe oleracea,Arecaceae,6.8,P,FALSE,NA,1.76,3.78,1.8,1.3,1.4,1.7,20140812,799917.8762,9725880.608
TAC_A01,1,24,CACAU,Theobroma glaucum,Malvaceae,10.4,O,FALSE,NA,1.41,4.26,3,3.5,2.3,2.2,20140812,799918.6301,9725881.25
TAC_A01,1,25,CACAU,Theobroma glaucum,Malvaceae,10.2,O,FALSE,NA,1.72,5.22,2.2,3,1.5,2.3,20140812,799921.1935,9725883.433
TAC_A01,1,26,AÇAI,Euterpe oleracea,Arecaceae,8.9,P,FALSE,NA,3.69,6.88,2.2,1.8,1.5,2.5,20140812,799922.0982,9725884.203
TAC_A01,1,27,AÇAI,Euterpe oleracea,Arecaceae,11.9,P,FALSE,NA,6.32,10.67,1.7,1.2,1.5,1.5,20140812,799922.3997,9725884.46
TAC_A01,1,28,AÇAI,Euterpe oleracea,Arecaceae,11.9,P,FALSE,NA,9.31,11.4,1.7,2,1.7,1.8,20140812,799922.3997,9725884.46
TAC_A01,1,29,AÇAI,Euterpe oleracea,Arecaceae,7.2,P,FALSE,NA,2.45,6.32,1.4,2.2,2.2,1.8,20140812,799922.3997,9725884.46
TAC_A01,1,30,AÇAI,Euterpe oleracea,Arecaceae,8.2,P,FALSE,NA,1.57,3.37,3.2,2.5,2.1,1.4,20140812,799922.3997,9725884.46
TAC_A01,1,31,CACAU,Theobroma glaucum,Malvaceae,9.8,O,FALSE,NA,2.11,5.28,2.2,1.8,2,1.2,20140812,799925.8701,9725883.439
TAC_A01,1,32,CACAU,Theobroma glaucum,Malvaceae,11,O,FALSE,NA,2.46,5.6,1.8,2.3,2.3,2,20140812,799923.4431,9725881.369
TAC_A01,1,33,CACAU,Theobroma glaucum,Malvaceae,9.4,O,FALSE,NA,2.97,4.82,1.7,1.4,1.8,1.3,20140812,799920.8643,9725879.169
TAC_A01,1,34,CACAU,Theobroma glaucum,Malvaceae,7.5,O,FALSE,NA,1.86,3.32,3.2,1.2,2.9,1.8,20140812,799919.1957,9725877.745
TAC_A01,1,35,CACAU,Theobroma glaucum,Malvaceae,9.9,O,FALSE,NA,1.57,3.84,3,2.7,1.2,2.8,20140812,799916.3894,9725875.351
TAC_A01,1,36,CACAU,Theobroma glaucum,Malvaceae,9.5,O,FALSE,NA,1.4,5.74,2.5,1.8,2.3,2.7,20140812,799914.4174,9725873.669
TAC_A01,1,37,CACAU,Theobroma glaucum,Malvaceae,10.5,O,FALSE,NA,1.42,3.81,2.4,2.2,2.8,2,20140812,799911.7628,9725871.404
TAC_A01,1,38,CACAU,Theobroma glaucum,Malvaceae,11.6,O,FALSE,NA,2.08,4.68,2.7,1.8,2.3,1.2,20140812,799909.3358,9725869.333
TAC_A01,1,39,CACAU,Theobroma glaucum,Malvaceae,15.6,O,FALSE,NA,2.16,5.11,3.4,3.5,3,2.1,20140812,799907.2121,9725867.522
