area,plot,tree,common_name,scientific_name,family_name,type,DBH.2015,Dead.2015,D_class.2015,fallen_wood.2015,Hcom.2015,Htot.2015,RN.2015,RS.2015,RE.2015,RW.2015,date.2015,DBH.2016,dead.2016,D.class.2016,date.2016,DBH.2018,Dead.2018,date.2018,UTM_Easting,UTM_Northing
TAP_A01,63,001a,canela de veado,Amaioua guianensis,Rubiaceae,O,18.6,FALSE,NA,NA,13.03,16.91,4.4,3.3,3.2,3,20151210,18.8,FALSE,NA,20161011,19.1,FALSE,20180829,726091.4554028,9683369.432992
TAP_A01,63,001b,tauari,Couratari stellata,Lecythidaceae,O,80,FALSE,NA,NA,28.7,50.4,9,9,9,8,20151210,80,FALSE,NA,20161011,82.8,FALSE,20180829,726114.353483112,9683379.10468088
TAP_A01,63,002a,breu barrote,Tetragastris panamensis,Burseraceae,O,34.1,FALSE,NA,NA,13.81,19.34,4.2,3.6,2,7.7,20151210,34.5,FALSE,NA,20161011,NA,TRUE,20180829,726095.913291472,9683371.78395728
TAP_A01,63,002b,castanha sapucaia,Lecythis pisonis,Lecythidaceae,O,78,FALSE,NA,NA,32.73,44.83,11,6,16.6,4.5,20151210,78,FALSE,NA,20161011,79.6,FALSE,20180829,726118.358182872,9683375.57670328
TAP_A01,63,003a,tachi vermelho,Tachigali paniculata,Fabaceae,O,10,FALSE,NA,NA,1.78,2.79,1.2,1.3,1.4,1.6,20151210,10.1,FALSE,NA,20161011,NA,TRUE,20180829,726096.92001792,9683371.8400808
TAP_A01,63,003b,muiracatiara,Astronium graveolens,Anacardiaceae,O,22.2,FALSE,NA,NA,10.95,14.86,NA,NA,NA,NA,20151210,23.2,FALSE,NA,20161011,23.2,FALSE,20180829,726119.9084536,9683373.583664
TAP_A01,63,004a,breu barrote,Tetragastris panamensis,Burseraceae,O,37.1,FALSE,NA,NA,13.92,20.75,2.7,3,2,2.6,20151210,37.6,FALSE,NA,20161011,38.2,FALSE,20180829,726101.82261716,9683372.5890284
TAP_A01,63,004b,tachi preto,Tachigali myrmecophila,Fabaceae,O,36.6,FALSE,NA,NA,15.74,24.01,3.5,9.8,3.6,5.7,20151210,36.6,FALSE,NA,20161011,10,FALSE,20180829,726122.023682784,9683373.28435616
TAP_A01,63,005a,caferana,Quiina florida,Ochnaceae,O,13.1,FALSE,NA,NA,5.92,8.08,4.3,2.7,8.5,1.6,20151210,14.5,FALSE,NA,20161011,14.3,FALSE,20180829,726101.9530636,9683372.113604
TAP_A01,63,005b,coracao de negro,Swartzia corrugata,Fabaceae,O,40,FALSE,NA,NA,7.67,14.6,2.3,6,4,2.5,20151210,40.1,FALSE,NA,20161011,40.6,FALSE,20180829,726122.175240344,9683376.54816056
TAP_A01,63,006a,muirapixuna ,Chamaecrista scleroxylon,Fabaceae,O,34,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151210,34.4,FALSE,NA,20161011,35.2,FALSE,20180829,726099.850371984,9683376.04844416
TAP_A01,63,006b,amarelao,Aspidosperma parvifolium,Apocynaceae,O,100,FALSE,NA,NA,28.13,48.13,7.5,10,6.8,7.1,20151210,100.2,FALSE,NA,20161011,84.4,FALSE,20180829,726126.58673024,9683375.2646776
