area,plot,tree,common.name,scientific.name,family.name,DBH,type,Dead,D.class,fallen.wood,Hcom,Htot,RN,RS,RE,RW,date,UTM.Easting,UTM.Northing
TAP_A03,59,001a,abiurana,Pouteria gongrijpii,Sapotaceae,10.5,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726694.04971088,9654190.3521176
TAP_A03,59,001b,louro preto,Nectandra cuspidata,Lauraceae,20.5,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726713.804710752,9654198.88674304
TAP_A03,59,002a,ucuuba,Virola michelii,Myristicaceae,11,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726694.21579696,9654192.6566792
TAP_A03,59,002b,breu branco,Protium paniculatum,Burseraceae,18,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726713.632982368,9654202.52646336
TAP_A03,59,003a,axixa,Sterculia pruriens,Malvaceae,13.9,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726692.129192992,9654193.16804784
TAP_A03,59,003b,morta,NA,NA,35.7,O,TRUE,4,FALSE,NA,NA,NA,NA,NA,NA,20151209,726714.730627552,9654202.55504704
TAP_A03,59,004a,muiratinga,Maquira coriacea,Moraceae,33.5,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726697.504286464,9654197.17297128
TAP_A03,59,004b,abiu cutite,Pouteria macrophylla,Sapotaceae,10.4,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726714.041329216,9654205.39098232
TAP_A03,59,005a,louro preto,Ocotea cernua,Lauraceae,24.7,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726700.52521136,9654196.6182872
TAP_A03,59,005b,breu,Protium heptaphyllum,Burseraceae,19.8,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726713.02436016,9654205.7426632
TAP_A03,59,006a,morta,NA,NA,11.5,O,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,20151209,726700.82955952,9654195.6224904
TAP_A03,59,006b,anani,Symphonia globulifera,Clusiaceae,10.6,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726712.44716464,9654204.3151728
TAP_A03,59,007a,morta,NA,NA,21.5,O,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,20151209,726700.631306592,9654199.38983584
TAP_A03,59,007b,envira surucucu,Duguetia surinamensis,Annonaceae,11,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726712.18609808,9654205.3591016
TAP_A03,59,008a,burra leiteira,Sapium marmieri,Euphorbiaceae,24.3,O,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,20151209,726706.36395248,9654195.8167496
