area,group_code,plot_ID,tree,common_name,scienfic_name,family_name,type,DBH.2014,canopy.2014,Light.2014,Dead.2014,D_class.2014,RN.2014,RS.2014,RL.2014,RO.2014,Date.2014,DBH.2018,Dead.2018,date.2018,UTM_Northing,UTM_Easting
CAU_A01,T01_P1,1,001a,envira preta,Xylopia sp.,Annonaceae,O,26.9,S,2,FALSE,NA,5.2,2,7,2.1,20140419,29.5,FALSE,20180118,9586860.759,778461.3817
CAU_A01,T01_P1,1,002a,inga amarelo,Inga sp.,Fabaceae,O,13,S,3,FALSE,NA,2.5,1.6,2.4,1.7,20140419,17.2,FALSE,20180118,9586860.854,778455.3616
CAU_A01,T01_P1,1,003a,taxi preto,Tachigali myrmecophila,Fabaceae,O,10.7,S,3,FALSE,NA,1.9,1.4,2.1,1,20140419,12.5,FALSE,20180118,9586863.577,778451.1685
CAU_A01,T01_P1,1,004a,urucurana,Sloanea guianensis,Elaeocarpaceae,O,14,S,3,FALSE,NA,2,1.7,2.8,2.1,20140419,14.1,FALSE,20180118,9586863.963,778450.942
CAU_A01,T01_P1,1,005a,paupratudo,Simaba cedron,Simaroubaceae,O,17,S,3,FALSE,NA,2,1.6,1.9,1.8,20140419,17.2,FALSE,20180118,9586864.163,778450.9285
CAU_A01,T01_P1,1,005b,casca seca,Licania canescens,Chrysobalanaceae,O,14.9,NA,NA,FALSE,NA,1.4,1.3,1.9,1.4,20140414,15,FALSE,20180118,9586870.399,778444.1712
CAU_A01,T01_P1,1,006a,morta,NA,NA,O,33.2,NA,NA,TRUE,3,NA,NA,NA,NA,20140419,NA,TRUE,20180118,9586862.113,778450.2651
CAU_A01,T01_P1,1,006b,cajuacu,Anacardium spruceanum,Anacardiaceae,O,78.9,NA,NA,FALSE,NA,4.7,7.2,8.6,5.8,20140414,80.1,FALSE,20180118,9586872.461,778443.5294
CAU_A01,T01_P1,1,007a,caripe,Licania octandra,Chrysobalanaceae,O,10.8,S,3,FALSE,NA,2,1.3,1.7,2.2,20140419,10.7,FALSE,20180118,9586862.909,778447.2046
CAU_A01,T01_P1,1,007b,breu branco,Protium paniculatum,Burseraceae,O,14.7,NA,NA,FALSE,NA,1.1,1.7,1.2,2.1,20140414,14.7,FALSE,20180118,9586869.534,778443.2246
