Area,trans,tree,common.name,scientific.name,family.name,DBH.09,type.09,canopy.09,light.09,Dead.09,D.class.09,Hcom.09,Htot.09,RN.09,RS.09,RE.09,RW.09,DBH.11,type.11,canopy.11,light.11,Dead.11,D.class.11,X.11,Y.11,Hcom.11,Htot.11,RN.11,RS.11,RE.11,RW.11,UTM.Easting,UTM.Northing
DUC_A01,T01,1001,urucurana,Sloanea guianensis,Elaeocarpaceae,27.1,O,C,NA,FALSE,NA,8.66,19.83,5.05,4.94,5.1,6.1,27.4,O,S,3,FALSE,NA,0.5,4,8.03,16.55,5.4,5.2,5.6,5.2,173084.5705,9674548.727
DUC_A01,T01,1002,axixa,Sterculia pruriens,Malvaceae,9.9,O,S,NA,FALSE,NA,9.6,14.36,1.2,1.9,1.7,2.72,10.7,O,S,2,FALSE,NA,0.5,27,9.25,14.94,1.7,1.9,1.7,1.6,173086.79,9674526.441
DUC_A01,T01,1003,abiu-cutite,Pouteria macrophylla,Sapotaceae,12,O,C,NA,FALSE,NA,14.16,19.53,1.01,2.25,1.06,1.4,12.3,O,S,2,FALSE,NA,0.5,28,17.23,19.65,1.8,2.2,1.7,2.6,173086.91,9674525.236
DUC_A01,T01,1004,mandioqueira,Qualea paraensis,Vochysiaceae,42.7,O,E,NA,FALSE,NA,17.27,25.65,10.16,7.3,5.3,8.56,43.5,O,D,1,FALSE,NA,2.8,29.5,19.87,32.02,10.5,6.7,3.4,5.6,173084.7413,9674523.804
DUC_A01,T01,1005,angelim rajado,Zygia racemosa,Fabaceae,14.8,O,C,NA,FALSE,NA,11.77,16.24,8.82,1.98,4.8,2.04,15.2,O,S,2,FALSE,NA,0.7,32,12.69,16.41,7.1,2.3,2.8,1.2,173087.0709,9674521.603
DUC_A01,T01,1007,breu,Protium heptaphyllum,Burseraceae,14.4,O,C,NA,FALSE,NA,13.21,19.32,1.9,3.6,2.5,2,15,O,S,2,FALSE,NA,0.5,38,15.82,19.38,2.4,2.3,2.6,1.2,173087.8697,9674515.599
DUC_A01,T01,1008,liana,NA,NA,13.7,L,S,NA,FALSE,NA,10.13,13.61,NA,NA,NA,NA,11.4,L,NA,NA,FALSE,NA,0.5,38,0,0,NA,NA,NA,NA,173087.8697,9674515.599
DUC_A01,T01,1009,ucuuba vermelha,Virola elongata,Myristicaceae,11.5,O,S,NA,FALSE,NA,5.65,9.08,7.2,-1.16,2.4,2.07,11.6,O,S,3,FALSE,NA,1,40.5,5.91,10.32,5.8,-1,2.2,2,173087.6121,9674513.14
DUC_A01,T01,1010,breu,Protium heptaphyllum,Burseraceae,12.1,O,C,NA,FALSE,NA,5.99,19.81,2.76,2.6,2,3,12,O,S,2,FALSE,NA,1.2,54,12.71,17.99,3,2,1.6,2.8,173088.7328,9674499.869
DUC_A01,T01,1011,louro,Ocotea canaliculata,Lauraceae,17.8,O,C,1,FALSE,NA,10.71,24.08,4.43,-0.2,7.07,1.4,17.9,O,S,2,FALSE,NA,1,58,11.22,15.34,3.7,0.7,3.3,1.2,173089.2917,9674496.275
