area;group;plot;tree;common.name;scientific.name;family.name;DBH;type;Dead;D.class;Hcom;Htot;RN;RS;RE;RW;date;UTM.Easting;UTM.Northing
FN_A01;1;1;98;morta;NA;NA;20;O;TRUE;2;1.47;13.23;NA;NA;NA;NA;20150812;70.661.811.988.124;86.448.789.419.992
FN_A01;1;1;100;morta;NA;NA;31.4;O;TRUE;2;1.34;16.72;NA;NA;NA;NA;20150812;7.066.328.629.808;8.644.868.699.504
FN_A01;1;1;104;morta;NA;NA;25.2;O;TRUE;2;1.43;5.62;NA;NA;NA;NA;20150812;7.066.203.391.618;8.644.890.205.604
FN_A01;1;1;105;morta;NA;NA;44;O;TRUE;1;2.73;25.33;NA;NA;NA;NA;20150812;70.661.820.815.078;86.448.832.846.724
FN_A01;1;2;122;morta;NA;NA;22.6;O;TRUE;2;1.26;6.86;NA;NA;NA;NA;20150812;706.623.882.547.259;86.450.487.597.179
FN_A01;1;2;123;morta;NA;NA;16;O;TRUE;2;1.64;7.1;NA;NA;NA;NA;20150812;706.622.169.951.968;864.505.377.060.984
FN_A01;1;2;124;morta;NA;NA;38;O;TRUE;2;1.11;4.99;NA;NA;NA;NA;20150812;706.622.193.376.096;864.505.506.358.048
FN_A01;1;2;125;morta;NA;NA;22.3;O;TRUE;2;1.43;18.54;NA;NA;NA;NA;20150812;706.625.031.992.733;864.505.710.066.806
FN_A01;1;3;127;morta;NA;NA;52.9;O;TRUE;2;1.66;5.01;NA;NA;NA;NA;20150812;706.623.332.755.312;864.517.235.569.728
FN_A01;1;3;128;morta;NA;NA;60.1;O;TRUE;2;2.41;32.31;NA;NA;NA;NA;20150812;706.629.474.129.368;864.518.355.687.892
FN_A01;1;3;129;morta;NA;NA;75;O;TRUE;2;2.2;23.35;NA;NA;NA;NA;20150812;70.666.221.253.672;86.451.845.076.528
FN_A01;1;4;130;morta;NA;NA;50;O;TRUE;2;1.97;4.44;NA;NA;NA;NA;20150812;706.633.172.160.128;864.532.064.590.624
FN_A01;1;4;131;morta;NA;NA;17.8;O;TRUE;2;1.97;5.72;NA;NA;NA;NA;20150812;706.626.401.125.172;864.536.217.705.576
FN_A01;1;4;132;morta;NA;NA;41;O;TRUE;2;0.95;1.64;NA;NA;NA;NA;20150812;70.666.671.130.568;86.453.169.351.144
FN_A01;1;4;134;morta;NA;NA;38.3;O;TRUE;2;1.68;12.76;NA;NA;NA;NA;20150812;706.632.310.059.748;864.534.860.477.384
FN_A01;1;4;135;morta;NA;NA;52.4;O;TRUE;2;2.92;29.97;NA;NA;NA;NA;20150812;706.640.557.963.328;864.536.070.356.224
