area,transect,tree,common_name,scienfic_name,family_name,WSD,DBH,BA,AGB,type,canopy,Light,Dead,D_class,Hcom,Htot,RN,RS,RE,RW,Date,UTM_Easting,UTM_Northing
FST_A01,T01,1,MUIRAPIRANGA,Brosimum rubescens,Moraceae,0.825151429,13.6,0.014526724,0.151940343,O,S,1,A,NA,11.24,19.56,2.5,2.8,1,2.3,20131118,587710.9825,9821885.241
FST_A01,T01,2,CARAPANAUBA,Aspidosperma nitidum,Apocynaceae,0.763327689,11.6,0.010568318,0.076589941,O,S,2,A,NA,7.26,14.65,1.8,1.6,1.7,1.6,20131118,587708.5653,9821888.458
FST_A01,T01,3,CORAÇAO DE NEGRO,Swartzia corrugata,Fabaceae,1.0565,40,0.125663706,2.562283696,O,C,1,A,NA,23.11,29.78,7,1.2,4.3,3.3,20131118,587705.9342,9821894.535
FST_A01,T01,4,BREU,Protium hepytaphillum ,Burseraceae,0.629,11.1,0.009676891,0.051819431,O,S,2,A,NA,7.69,13.14,3.9,1.3,2.4,2.3,20131118,587702.1446,9821893.9
FST_A01,T01,5,ITAUBA,Mezilaurus itauba,Lauraceae,0.720305556,100.2,0.788542898,18.99623864,O,C,1,A,NA,32.58,51.61,11.8,6.2,6.6,8.2,20131118,587696.2038,9821894.51
FST_A01,T01,6,LOURO PRETO,Nectandra cuspidata,Lauraceae,0.56,30.8,0.074506011,1.120577127,O,C,2,A,NA,29.24,41.44,3,3.8,1.6,6.8,20131118,587692.7628,9821897.703
FST_A01,T01,7,BREU,Protium hepytaphillum ,Burseraceae,0.629,13,0.013273229,0.090869113,O,S,2,A,NA,9.81,16.79,2.2,1.7,2,2.1,20131118,587695.5423,9821900.838
FST_A01,T01,8,PURUI,Alibertia edulis,Rubiaceae,0.76,14.5,0.016512996,0.155259586,O,S,2,A,NA,13.85,19.09,2.7,1.5,1.6,3.2,20131118,587689.6922,9821900.7
FST_A01,T01,9,MORTA,NA,NA,0.58,42.5,0.141862543,1.160396277,O,NA,NA,D,3,NA,34.83,NA,NA,NA,NA,20131118,587690.4693,9821901.878
FST_A01,T01,10,BREU,Protium hepytaphillum ,Burseraceae,0.629,10.9,0.009331316,0.070090457,O,S,2,A,NA,13.75,18.43,2.6,1.6,2.7,2,20131118,587686.281,9821905.735
FST_A01,T01,11,LOURO PRETO,Nectandra cuspidata,Lauraceae,0.56,21,0.034636059,0.268344123,O,C,2,A,NA,14.36,21.35,2.1,1,1.2,2.2,20131118,587686.424,9821905.875
FST_A01,T01,12,BREU BRANCO,Protium paniculatum,Burseraceae,0.49,14.6,0.016741547,0.127785326,O,S,2,A,NA,10.01,24.04,3,2.7,2.2,3.4,20131118,587686.002,9821908.252
FST_A01,T01,13,MUIRATINGA,Maquira sclerophylla,Moraceae,0.53,22.5,0.039760782,0.368015713,O,S,2,A,NA,16.8,26.95,4.8,3.2,2.3,4.7,20131118,587684.2446,9821911.416
FST_A01,T01,14,MAPATIRANA,Pourouma minor,Urticaceae,0.444604162,20.2,0.032047387,0.273720367,O,S,2,A,NA,22.11,29.64,1.8,1.7,1,4.8,20131118,587681.7061,9821910.47
FST_A01,T01,15,BREU BRANCO,Protium paniculatum,Burseraceae,0.49,23.3,0.042638481,0.372872418,O,C,2,A,NA,21.25,27.54,1.7,3.2,1.9,3.6,20131118,587680.6991,9821912.833
FST_A01,T01,16,CAJUAÇU,Anacardium spruceanum,Anacardiaceae,0.479166667,44.3,0.154133604,1.687410298,O,E,1,A,NA,23.3,35.25,5,3.4,4.4,2.6,20131118,587696.6795,9821927.056
FST_A01,T01,17,ABIU CUTITE,Pouteria macrophilla,Sapotaceae,0.737,80,0.502654825,10.93263939,O,E,1,A,NA,32.35,45.54,3.7,11,13.3,6.8,20131118,587704.7393,9821926.565
