area;transect;tree;common_name;scientific_name;family_name;WSD;DBH;BA;AGB;area_sampled;BA_AS;AGB_AS;type;canopy;light;dead;d_class;Hcom;Htot;RN;RS;RE;RW;date;UTM_Easting;UTM_Northing;;;;;;;;;;;;;;;
JAM_A01;T07;1;ANANI;Symphonia globulifera;Clusiaceae;0.60;26.8;0.056410438;0.417999492;0.268;0.210486708;1.559699598;O;S;2;A;NA;10.80;19.06;3.5;4;2;2.80;20111208;522939.6159;8998328.641;;;;;;;;;;;;;;;
JAM_A01;T07;2;AÇAI;Euterpe oleracea;Arecaceae;NA;8.9;0.006221139;0.018618115;0.089;0.069900437;0.209192307;P;S;3;A;NA;8.60;12.90;1;1.2;1;1;20111208;522940.3271;8998327.749;;;;;;;;;;;;;;;
JAM_A01;T07;3;ANDORINHA;Casearia grandiflora;Salicaceae;0.77;18.8;0.027759113;0.352661378;0.188;0.147654855;1.875858391;O;C;2;A;NA;18.67;25.46;2.8;2;1.8;1.7;20111208;522940.19;8998314.747;;;;;;;;;;;;;;;
JAM_A01;T07;4;UXIRANA;Sacoglottis guianensis;Humiriaceae;0.84;18.1;0.025730429;0.264257028;0.181;0.142157068;1.459983579;O;S;3;A;NA;15.42;18.87;2.6;0.6;1.4;4;20111208;522939.5126;8998312.938;;;;;;;;;;;;;;;
JAM_A01;T07;5;MARAÇATA;NI;NI;0.62;9.8;0.007542964;0.030096123;0.098;0.07696902;0.307103292;O;S;3;A;NA;6.74;9.93;0.8;3.2;1.2;1;20111208;522940.7127;8998304.952;;;;;;;;;;;;;;;
JAM_A01;T07;6;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;20.6;0.033329156;0.231170857;0.206;0.161792022;1.122188628;O;S;1;A;NA;10.59;15.12;3.8;2.5;3.4;3.6;20111208;522938.7595;8998293.227;;;;;;;;;;;;;;;
JAM_A01;T07;7;JOAO MOLE;Neea oppositifolia;Nyctaginaceae;0.89;22.4;0.039408138;0.316796624;0.224;0.175929189;1.414270644;O;S;3;A;NA;10.72;13.90;2.2;2;2.2;1.7;20111208;522939.0945;8998290.431;;;;;;;;;;;;;;;
JAM_A01;T07;8;UCUUBA;Virola melinoni;Myristicaceae;0.48;11.7;0.010751315;0.0580173;0.117;0.091891585;0.495874356;O;S;3;A;NA;12.77;17.49;1.9;0.7;1.5;1;20111208;522939.7462;8998318.241;;;;;;;;;;;;;;;
JAM_A01;T07;9;PENTE DE MACACO;Apeiba echinata;Malvaceae;0.28;32.2;0.081433223;0.470823456;0.322;0.252898209;1.462184645;O;C;1;A;NA;22.70;32.36;2.6;2.1;2.4;2.8;20111208;522938.766;8998284.726;;;;;;;;;;;;;;;
JAM_A01;T07;10;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;7;0.003848451;0.021826125;0.07;0.054977871;0.31180178;O;S;3;A;NA;8.56;12.36;0.5;0.9;0.6;0.5;20111208;522941.0821;8998283.455;;;;;;;;;;;;;;;
JAM_A01;T07;11;LIANA;NA;NA;NA;15.5;0.018869191;0.015761707;0.155;0.121736715;0.101688434;L;NA;NA;A;NA;NA;NA;NA;NA;NA;NA;20111208;522941.0821;8998283.455;;;;;;;;;;;;;;;
JAM_A01;T07;12;ARARACANGA;Aspidosperma spruceanum;Apocynaceae;0.75;10.7;0.008992024;0.060121829;0.107;0.084037603;0.561886252;O;S;1;A;NA;8.84;13.69;1.2;1.3;0.7;1.9;20111208;522940.2511;8998277.945;;;;;;;;;;;;;;;
JAM_A01;T07;13;QUARUBARANA;Erisma uncinatum;Vochysiaceae;0.51;14.7;0.016971669;0.05317905;0.147;0.11545353;0.361762247;O;S;2;A;NA;6.71;9.48;2;1.2;1.3;1.8;20111208;522940.4262;8998271.946;;;;;;;;;;;;;;;
JAM_A01;T07;14;QUARUBARANA;Erisma uncinatum;Vochysiaceae;0.51;11.7;0.010751315;0.043056842;0.117;0.091891585;0.368007199;O;S;2;A;NA;8.56;12.12;1.8;1.5;1.2;1.7;20111208;522940.849;8998262.151;;;;;;;;;;;;;;;
JAM_A01;T07;15;INGA BRANCO;Inga thibaudiana;Fabaceae;0.58;10.2;0.008171282;0.035956191;0.102;0.080110613;0.352511674;O;S;3;A;NA;8.56;11.78;1.1;1;1;1.2;20111208;522940.574;8998260.147;;;;;;;;;;;;;;;
JAM_A01;T07;16;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;27.8;0.060698712;0.509705493;0.278;0.218340689;1.833472997;O;C;1;A;NA;14.41;18.31;1.8;3.5;2.3;2.7;20111208;522941.4015;8998257.957;;;;;;;;;;;;;;;
JAM_A01;T07;17;TANIBUCA;Terminalia amazonia;Combretaceae;0.68;20.7;0.033653526;0.288300167;0.207;0.16257742;1.392754429;O;C;1;A;NA;13.72;19.43;0.8;1.1;1;0.9;20111208;522941.4333;8998239.456;;;;;;;;;;;;;;;
JAM_A01;T07;18;ENVIRA CUNAUARU;Annona ambotay;Annonaceae;0.41;14.3;0.016060607;0.049822813;0.143;0.112311937;0.348411282;O;S;2;A;NA;6.82;11.59;2.1;1.8;2.5;1;20111208;522940.9417;8998254.751;;;;;;;;;;;;;;;
JAM_A01;T07;19;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;60;0.282743339;5.324703989;0.6;0.471238898;8.874506648;O;C;1;A;NA;29.43;41.05;3.8;7.6;4.4;4.2;20111208;522937.19;8998234.903;;;;;;;;;;;;;;;
JAM_A01;T07;20;INHARE;Helicostylis sp.;Moraceae;0.65;21;0.034636059;0.281395907;0.21;0.164933614;1.339980508;O;C;2;A;NA;11.76;19.21;1.5;2.1;1.6;1.9;20111208;522940.7148;8998232.947;;;;;;;;;;;;;;;
JAM_A01;T07;21;ANGELIM RAJADO;Zygia racemosa;Fabaceae;0.75;16.9;0.022431757;0.271942196;0.169;0.13273229;1.60912542;O;S;2;A;NA;19.00;24.94;2.1;2.1;1.5;2.5;20111208;522941.8851;8998219.36;;;;;;;;;;;;;;;
JAM_A01;T07;22;MACUCU;Licania heteromorpha;Chrysobalanaceae;0.82;14.1;0.015614501;0.159831056;0.141;0.110741141;1.133553588;O;S;3;A;NA;14.70;19.35;1.2;1.3;2.6;0;20111208;522941.4215;8998216.454;;;;;;;;;;;;;;;
