area,group_code,plot,common_name,scienfic_name,family_name,tree,WSD,DBH,type,canopy,Light,Dead,D_class,date,UTM_Easting,UTM_Northing,
JAM_A02,T01,T01_P1,QUARUBA,Vochysia guianensis,Vochysiaceae,8,0.51,26.1,O,C,2,A,NA,20131217,498887.0032,8990912.63,
JAM_A02,T01,T01_P4,TAXI PRETO,Tachigali myrmecophila,Fabaceae,55,0.53,16.7,O,S,2,A,NA,20131217,498881.9628,8990488.091,
JAM_A02,T01,T01_P4,MORTA,NA,NA,63,NA,30.3,O,NA,NA,D,1,20131217,498881.4822,8990469.582,
JAM_A02,T02,T02_P3,MATAMATA BRANCO,Eschweilera coriacea,Lecythidaceae,50,0.85,11.1,O,S,2,A,NA,20131216,498982.394,8990052.203,
JAM_A02,T03,T03_P1,BREU BARROTE,Tetragastris panamensis,Burseraceae,10,0.73,25.9,O,S,2,A,NA,20131219,499726.3186,8990357.19,
JAM_A02,T03,T03_P2,UCUUBA DA TERRA FIRME,Virola sebifera,Myristicaceae,33,0.45,17.8,O,S,2,A,NA,20131219,499726.2947,8990208.088,
JAM_A02,T03,T03_P2,ENVIRA,Xylopia sp.,Annonaceae,34,0.57,15.1,O,S,2,A,NA,20131219,499725.0251,8990204.464,
JAM_A02,T04,T04_P2,UXIRANA,Sacoglottis guianensis,Humiriaceae,19,0.84,18.6,O,S,2,A,NA,20131217,498877.6725,8988970.265,
JAM_A02,T01,T01_P1,LOURO PRETO,Nectandra cuspidata,Lauraceae,1,0.56,28.9,l,S,2,A,NA,20131217,498887.2825,8990933.628,
JAM_A02,T01,T01_P1,AMARELAO,Apuleia leiocarpa,Fabaceae,2,0.77,58,O,C,1,A,NA,20131217,498869.9919,8990930.248,
JAM_A02,T01,T01_P1,TATAJUBA,Bagassa guianensis,Moraceae,6a,0.71,67,O,E,1,A,NA,20131217,498877.7839,8990916.5,
JAM_A02,T01,T01_P1,INHARE,Helicostylis sp.,Moraceae,3,0.65,39.6,O,C,1,A,NA,20131217,498878.7529,8990914.407,
JAM_A02,T01,T01_P1,COPAIBA,Copaifera reticulata,Fabaceae,4,0.61,35,O,S,2,A,NA,20131217,498884.7798,8990917.845,
JAM_A02,T01,T01_P1,CANELA DE JACAMIM,Rinorea passoura,Violaceae,5,0.68,10.8,O,S,2,A,NA,20131217,498884.7771,8990917.645,
JAM_A02,T01,T01_P1,BABAÇU,Attalea speciosa,Arecaceae,6,0.33,23.5,P,S,2,A,NA,20131217,498887.0763,8990918.13,
JAM_A02,T01,T01_P1,TAXI PRETO,Tachigali myrmecophila,Fabaceae,7,0.53,29,O,S,1,A,NA,20131217,498885.2638,8990901.781,
JAM_A02,T01,T01_P1,CASTANHEIRA,Bertholletia excelsa,Lecythidaceae,9,0.64,55.1,O,E,1,A,NA,20131217,498855.071,8990932.651,
JAM_A02,T01,T01_P1,IPE AMARELO,Handroanthus serratifolius,Bignoniaceae,10,0.64,60.8,O,C,1,A,NA,20131217,498845.2346,8990942.586,
JAM_A02,T01,T01_P1,PENTE DE MACACO,Apeiba echinata,Malvaceae,11,0.28,45.5,O,C,1,A,NA,20131217,498843.2301,8990941.773,
JAM_A02,T01,T01_P1,ANGELIM PEDRA,Hymenolobium petraeum,Fabaceae,12,0.71,39.4,O,C,1,A,NA,20131217,498841.2787,8990944.96,
JAM_A02,T01,T01_P2,CUPIU,NI,NI,13,0.64,12.8,O,S,2,A,NA,20131217,498886.9065,8990785.238,
JAM_A02,T01,T01_P2,MATAMATA VERMELHO,Eschweilera grandifolia,Lecythidaceae,14,0.88,13.6,O,S,2,A,NA,20131217,498889.3023,8990785.097,
JAM_A02,T01,T01_P2,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,15,0.47,17.9,O,S,1,A,NA,20131217,498889.3011,8990783.606,
JAM_A02,T01,T01_P2,FAVA AMARGOSA,Vataireopsis speciosa,Fabaceae,16,0.65,15.8,O,S,1,A,NA,20131217,498889.4474,8990758.748,
