area,group_code,plot,common_name,scienfic_name,family_name,tree,WSD,DBH,type,canopy,Light,Dead,D_class,date,UTM_Easting,UTM_Northing,,,,
JAM_A03,T08,T08_P1,BREU,Protium hepytaphillum ,Burseraceae,1,0.63,16.2,O,S,2,A,NA,20131218,498874.4407,8996741.74,,,,
JAM_A03,T08,T08_P1,INHARE,Helicostylis sp.,Moraceae,2,0.65,22.5,O,S,2,A,NA,20131218,498872.2207,8996744.205,,,,
JAM_A03,T08,T08_P1,INGA VERMELHO,Inga alba,Fabaceae,3,0.59,15.4,O,S,2,A,NA,20131218,498874.5659,8996745.05,,,,
JAM_A03,T08,T08_P1,MOLONGO,Ambelania acida,Apocynaceae,4,0.52,12.6,O,S,1,A,NA,20131218,498873.5734,8996752.335,,,,
JAM_A03,T08,T08_P1,BABAÇU,Attalea speciosa,Arecaceae,5,0.33,28.2,P,S,2,A,NA,20131218,498874.5876,8996753.759,,,,
JAM_A03,T08,T08_P1,BREU,Protium hepytaphillum ,Burseraceae,6,0.63,14.3,O,S,2,A,NA,20131218,498872.521,8996755.712,,,,
JAM_A03,T08,T08_P1,CACAU,Theobroma glaucum,Malvaceae,7,0.53,12.4,O,S,2,A,NA,20131218,498871.8844,8996765.981,,,,
JAM_A03,T08,T08_P1,ROXINHO,Peltogyne leicointei,Fabaceae,8,0.80,16.4,O,S,2,A,NA,20131218,498869.8733,8996768.319,,,,
JAM_A03,T08,T08_P1,FAVA ORELHA DE MACACO,Enterolobium schomburgkii,Fabaceae,9,0.71,30.5,O,C,1,A,NA,20131218,498869.7699,8996773.716,,,,
JAM_A03,T08,T08_P1,PINTADINHO,Poeppigia sp.,Fabaceae,10,0.69,13.2,O,S,2,A,NA,20131218,498871.6123,8996777.373,,,,
JAM_A03,T08,T08_P1,QUARUBA,Vochysia guianensis,Vochysiaceae,11,0.51,15,O,S,2,A,NA,20131218,498872.3849,8996779.223,,,,
JAM_A03,T08,T08_P1,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,12,0.46,11.1,O,S,2,A,NA,20131218,498872.4089,8996780.785,,,,
JAM_A03,T08,T08_P1,AÇAI,Euterpe oleracea,Arecaceae,13,0.41,12.4,P,S,2,A,NA,20131218,498871.9496,8996783.199,,,,
JAM_A03,T08,T08_P1,ENVIRA PRETA,Guatteria schomburgkiana,Annonaceae,14,0.60,19.9,O,S,2,A,NA,20131218,498870.6622,8996783.379,,,,
JAM_A03,T08,T08_P1,UCUUBA BRANCA,Virola crebrinervia,Myristicaceae,15,0.50,12.8,O,S,1,A,NA,20131218,498869.6915,8996781.558,,,,
JAM_A03,T08,T08_P1,LOURO PRETO,Nectandra cuspidata,Lauraceae,16,0.56,11.8,O,S,2,A,NA,20131218,498868.8503,8996786.57,,,,
JAM_A03,T08,T08_P1,TANIBUCA,Terminalia amazonia,Combretaceae,17,0.68,38.8,O,C,2,A,NA,20131218,498890.5174,8996775.701,,,,
JAM_A03,T08,T08_P1,CAJUAÇU,Anacardium spruceanum,Anacardiaceae,18,0.48,48,O,C,1,A,NA,20131218,498903.5002,8996772.901,,,,
JAM_A03,T08,T08_P1,CAQUI,Diospyros guianensis,Ebenaceae,19,0.73,39,O,C,2,A,NA,20131218,498905.0347,8996767.792,,,,
JAM_A03,T08,T08_P1,FAVA BRANCA,Parkia paraensis,Fabaceae,20,0.42,70,O,E,1,A,NA,20131218,498915.4819,8996761.433,,,,
JAM_A03,T08,T08_P1,PENTE DE MACACO,Apeiba echinata,Malvaceae,21,0.28,42,O,S,2,A,NA,20131218,498915.5908,8996760.439,,,,
JAM_A03,T08,T08_P1,MORTA,NA,NA,22,NA,40.8,O,NA,NA,D,1,20131218,498909.6163,8996734.849,,,,
JAM_A03,T08,T08_P1,INGA VERMELHO,Inga alba,Fabaceae,23,0.59,41.5,O,C,2,A,NA,20131218,498898.6141,8996737.371,,,,
JAM_A03,T08,T08_P2,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,24,0.89,15.1,O,S,2,A,NA,20131218,498870.5272,8996895.625,,,,
JAM_A03,T08,T08_P2,ITAUBA,Mezilaurus itauba,Lauraceae,25,0.72,60.8,O,C,2,A,NA,20131218,498872.4931,8996926.119,,,,
JAM_A03,T08,T08_P1,CASTANHEIRA,Bertholletia excelsa,Lecythidaceae,26,0.64,106.2,O,E,1,A,NA,20131218,498882.5515,8996741.581,,,,
JAM_A03,T08,T08_P2,ACARIQUARANA,Rinorea guianensis,Violaceae,27,0.78,41.4,O,S,2,A,NA,20131218,498880.2968,8996893.952,,,,
JAM_A03,T08,T08_P2,ACARIQUARANA,Rinorea guianensis,Violaceae,28,0.78,52.7,O,S,2,A,NA,20131218,498876.265,8996898.808,,,,
JAM_A03,T08,T08_P2,INHARE,Helicostylis sp.,Moraceae,29,0.65,30,O,C,2,A,NA,20131218,498869.9816,8996900.169,,,,
JAM_A03,T08,T08_P2,MUIRAPIRANGA,Brosimum rubescens,Moraceae,30,0.83,14,O,S,2,A,NA,20131218,498867.9345,8996905.547,,,,
JAM_A03,T08,T08_P2,ACARIQUARANA,Rinorea guianensis,Violaceae,31,0.78,15.8,O,S,2,A,NA,20131218,498869.7273,8996905.387,,,,
JAM_A03,T08,T08_P2,MATAMATA,Eschweilera parviflora,Lecythidaceae,32,0.89,23.3,O,S,1,A,NA,20131218,498869.2261,8996905.731,,,,
JAM_A03,T08,T08_P2,INHARE,Helicostylis sp.,Moraceae,33,0.65,38.4,O,C,1,A,NA,20131218,498871.001,8996907.271,,,,
JAM_A03,T08,T08_P2,FAVA AMARGOSA,Vataireopsis speciosa,Fabaceae,34,0.65,19.8,O,S,2,A,NA,20131218,498867.7798,8996910.756,,,,
JAM_A03,T08,T08_P2,TAXI VERMELHO,Tachigali alba,Fabaceae,35,0.56,29.8,O,C,2,A,NA,20131218,498871.1398,8996912.953,,,,
