area,transect,tree,common_name,scienfic_name,family_name,DBH.2013,type,canopy.2013,Light.2013,Dead.2013,D_class.2013,Hcom.2013,Htot.2013,RN.2013,RS.2013,RL.2013,RO.2013,Date.2013,DBH.2018,Dead.2018,Date.2018,UTM_Easting,UTM_Northing
PAR_A01,T01,1,ENVIRA BIRIBA,NI,NI,11.1,O,S,1,FALSE,NA,9.44,12.36,2.5,0.6,0.5,2.4,20130309,NA,TRUE,20180429,220532.4959,9634021.826
PAR_A01,T01,2,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,12.6,O,S,1,FALSE,NA,14.5,19.89,2.6,0.9,2.8,1.3,20130309,"16,5",FALSE,20180429,220517.7534,9634013.352
PAR_A01,T01,3,ANDORINHA,Casearia grandiflora,Salicaceae,12,O,S,2,FALSE,NA,8.46,12.8,1.2,0.9,1.5,0.4,20130309,"12,3",FALSE,20180429,220493.8442,9634000.801
PAR_A01,T01,4,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,13.6,O,S,2,FALSE,NA,7.66,10.34,5.5,0.3,0.6,1.2,20130309,"13,6",TRUE,20180429,220487.1511,9633996.364
PAR_A01,T01,5,CUMARU,Dipteryx odorata,Fabaceae,15.2,O,S,2,FALSE,NA,14.71,16.8,2,1.9,0.7,1.7,20130309,"17,0",FALSE,20180429,220483.7652,9633994.636
PAR_A01,T01,6,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,11,O,S,2,FALSE,NA,12.44,18.51,2.5,0.4,2.8,0.5,20130309,"11,1",FALSE,20180429,220475.6357,9633990.328
PAR_A01,T01,7,ENVIRA BIRIBA,NI,NI,11.5,O,S,2,FALSE,NA,6.59,10.05,1.7,0.8,0.3,9.3,20130309,"11,5",TRUE,20180429,220450.8002,9633977.387
PAR_A01,T01,8,ENVIRA BIRIBA,NI,NI,13.8,O,S,2,FALSE,NA,10.97,16.67,2.3,0.6,1.1,0.8,20130309,16,FALSE,20180429,220441.424,9633971.604
PAR_A01,T01,9,MURTA,Strychnos subcordata,Loganiaceae,10.6,O,S,1,FALSE,NA,6.61,10.04,3.2,0.6,1.2,1.5,20130309,"10,8",FALSE,20180429,220424.5177,9633962.294
PAR_A01,T01,10,MORTA,NA,NA,14.8,O,NA,NA,TRUE,4,NA,4.01,NA,NA,NA,NA,20130309,NA,TRUE,20180429,220412.2194,9633955.604
PAR_A01,T01,11,ANDORINHA,Casearia grandiflora,Salicaceae,12.7,O,S,1,FALSE,NA,10.24,13.69,3.2,1.3,1.2,2,20130309,"14,6",FALSE,20180429,220410.7261,9633954.792
PAR_A01,T01,12,MORTA,NA,NA,13,O,NA,NA,TRUE,3,NA,8.75,NA,NA,NA,NA,20130309,NA,TRUE,20180429,220398.6513,9633948.11
PAR_A01,T01,13,MURTA,Strychnos subcordata,Loganiaceae,10.5,O,S,2,FALSE,NA,7.87,12.01,3.5,0.9,1.1,1.8,20130309,"10,5",FALSE,20180429,220396.6709,9633947.147
PAR_A01,T01,14,ANDORINHA,Casearia grandiflora,Salicaceae,19.6,O,S,2,FALSE,NA,6.68,17.4,3.8,2.3,5.1,1.9,20130309,"21,1",FALSE,20180429,220373.0006,9633934.157
PAR_A01,T01,15,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,16.1,O,C,1,FALSE,NA,9.54,15.52,2.8,1.8,3,2,20130309,"18,5",FALSE,20180429,220369.8782,9633932.572
PAR_A01,T01,16,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,11.8,O,C,1,FALSE,NA,9.31,15.22,1.1,1.5,1.2,1.4,20130309,"11,8",FALSE,20180429,220365.8082,9633931.058
PAR_A01,T01,17,ANDORINHA,Casearia grandiflora,Salicaceae,18.7,O,S,2,FALSE,NA,13.53,19.38,1.4,2.6,3.1,1.4,20130309,"21,0",FALSE,20180429,220361.4564,9633927.565
PAR_A01,T01,18,ANDORINHA,Casearia grandiflora,Salicaceae,10.8,O,S,2,FALSE,NA,9.97,14.28,1.7,0.8,2,1,20130309,"13,0",FALSE,20180429,220361.3694,9633927.516
PAR_A01,T01,19,INGA VERMELHO,Inga alba,Fabaceae,22.2,O,S,3,FALSE,NA,8.47,14.64,1.7,1,1.1,4.5,20130309,"22,7",FALSE,20180429,220354.7517,9633924.81
PAR_A01,T01,20,INGA VERMELHO,Inga alba,Fabaceae,41.6,O,C,1,FALSE,NA,18.44,45.47,7.8,6.9,8.2,5.5,20130309,44,FALSE,20180429,220326.5948,9633915.789
PAR_A01,T01,21,NI,NI,NI,11.9,O,S,1,FALSE,NA,3.69,10.42,2.7,1.5,0.7,4.8,20130309,"12,6",FALSE,20180429,220329.0218,9633909.35
PAR_A01,T01,22,MORTA,NA,NA,23,O,NA,NA,TRUE,4,NA,2.61,NA,NA,NA,NA,20130309,NA,TRUE,20180429,220310.952,9633899.253
PAR_A01,T01,23,PAU SANTO,Zollernia paraensis,Fabaceae,30.1,O,C,1,FALSE,NA,17.25,22.52,4.1,2.9,3.2,5.1,20130309,"31,2",FALSE,20180429,220303.3866,9633895.782
PAR_A01,T01,24,MORTA,NA,NA,19.7,O,NA,NA,TRUE,4,NA,6.64,NA,NA,NA,NA,20130309,NA,TRUE,20180429,220297.4677,9633891.403
PAR_A01,T01,25,ANGELIM RAJADO,Zygia racemosa,Fabaceae,11.1,O,S,3,FALSE,NA,10.23,13.09,1.8,1.3,1.7,2,20130309,"11,8",FALSE,20180429,220293.6272,9633889.463
PAR_A01,T01,26,PAU DE REMO,Chimarrhis turbinata,Rubiaceae,45.6,O,C,1,FALSE,NA,15.88,19.75,2.8,1.8,2.8,2.3,20130309,41,FALSE,20180429,220289.9672,9633890.495
PAR_A01,T01,27,MORTA,NA,NA,36.3,O,NA,NA,TRUE,4,NA,15.13,NA,NA,NA,NA,20130309,36,TRUE,20180429,220321.5236,9633906.376
PAR_A01,T01,28,ENVIRA CUNAUARU,Annona ambotay,Annonaceae,10.4,O,S,1,FALSE,NA,4.51,10.64,2.2,2.6,2.8,1.9,20130309,11,FALSE,20180429,220276.7092,9633880.305
PAR_A01,T01,29,JATEREU,Lecythis idatimon,Lecythidaceae,38,O,C,1,FALSE,NA,19.89,25.49,3.1,1.8,2.2,3.4,20130309,"38,8",FALSE,20180429,220255.2919,9633877.853
PAR_A01,T01,30,TAXI BRANCO,Tachigali paniculata,Fabaceae,11.9,O,S,2,FALSE,NA,9.3,16.6,2.4,1.2,2.1,1.3,20130309,"11,9",TRUE,20180429,220242.1017,9633862.324
PAR_A01,T01,31,ABIURANA,Pouteria gongrijpii,Sapotaceae,14.1,O,S,2,FALSE,NA,9.46,13.58,2.3,0.7,0.8,1.2,20130309,"15,3",FALSE,20180429,220241.1667,9633861.951
PAR_A01,T01,32,MURTA,Strychnos subcordata,Loganiaceae,35.1,O,E,1,FALSE,NA,20.79,27.96,2.5,2.6,1.4,4.8,20130309,"36,4",FALSE,20180429,220236.6866,9633870.215
PAR_A01,T01,33,NI,NI,NI,20,O,S,1,FALSE,NA,2.28,14.58,0.5,0.4,0.6,0.4,20130309,"20,4",FALSE,20180429,220240.327,9633861.402
PAR_A01,T01,34,MAMUI,Jacaratia spinosa,Caricaceae,47.4,O,E,1,FALSE,NA,11.63,21.28,0.5,0.4,0.6,0.4,20130309,"47,7",FALSE,20180429,220213.7535,9633847.482
PAR_A01,T01,35,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,16.7,O,S,1,FALSE,NA,10.84,17.27,2.3,2.2,1.7,3.7,20130309,"19,4",FALSE,20180429,220208.3816,9633844.804
PAR_A01,T01,36,EMBAUBA,Cecropia ficifolia,Urticaceae,12.2,O,E,1,FALSE,NA,10.83,13.49,2,0.8,0.7,1.6,20130309,"12,2",TRUE,20180429,220203.0573,9633842.038
PAR_A01,T01,37,FAVA BOLOTA,Parkia pendula,Fabaceae,35.9,O,S,2,FALSE,NA,12.5,23.77,2.8,5,3.5,2.9,20130309,"36,8",FALSE,20180429,220196.4692,9633843.91
PAR_A01,T01,38,ENVIRA CUNAUARU,Annona ambotay,Annonaceae,18.2,O,S,2,FALSE,NA,8.94,17.73,7.2,1.2,1.6,4.6,20130309,"18,7",FALSE,20180429,220193.2962,9633836.966
PAR_A01,T01,39,ARATACIU,Sagotia racemosa,Euphorbiaceae,12.5,O,S,2,FALSE,NA,6.54,16.73,1.5,1.4,1.9,1.7,20130309,"12,7",FALSE,20180429,220188.511,9633834.255
PAR_A01,T01,40,ABIURANA,Pouteria gongrijpii,Sapotaceae,10.1,O,S,2,FALSE,NA,7.98,14.75,0.9,0.8,0.6,2.4,20130309,"10,6",FALSE,20180429,220179.652,9633830.666
PAR_A01,T01,41,INGA,Inga marginata,Fabaceae,10.2,O,S,3,FALSE,NA,3.75,7.74,2,1.4,3.3,1.7,20130309,"10,5",FALSE,20180429,220168.4711,9633824.856
PAR_A01,T01,42,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,19.2,O,S,1,FALSE,NA,4.46,15.19,1.7,1.8,1.5,2.1,20130309,"23,8",FALSE,20180429,220157.8013,9633818.524
PAR_A01,T01,43,ENVIRA CUNAUARU,Annona ambotay,Annonaceae,12,O,S,3,FALSE,NA,6.41,10.82,4.8,0.3,1.3,0.6,20130309,"12,0",FALSE,20180429,220127.3924,9633803.288
PAR_A01,T01,44,TAXIRANA,Stryphnodendron paniculatum,Fabaceae,14,O,S,2,FALSE,NA,6.08,9.54,1,1.4,1.2,2,20130309,"16,3",FALSE,20180429,220116.8392,9633797.579
PAR_A01,T01,45,MORTA,NA,NA,36,O,NA,NA,TRUE,3,NA,5.53,NA,NA,NA,NA,20130309,"36,0",TRUE,20180429,220144.5466,9633812.764
PAR_A01,T01,46,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,55.6,O,E,1,FALSE,NA,28.45,37.44,4.2,4.9,5.2,6.2,20130309,"59,0",FALSE,20180429,220140.4101,9633817.037
PAR_A01,T01,47,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,83.1,O,E,1,FALSE,NA,23.41,32.53,5,8.3,4.3,9,20130309,"87,0",FALSE,20180429,220141.495,9633810.84
PAR_A01,T01,48,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,14.1,O,E,1,FALSE,NA,6.78,10.81,2.5,1.5,2,2,20130309,"15,1",FALSE,20180429,220120.1981,9633799.775
PAR_A01,T01,49,MORTA,NA,NA,42,O,NA,NA,TRUE,3,NA,4.49,NA,NA,NA,NA,20130309,"42,0",TRUE,20180429,220107.8997,9633795.188
PAR_A01,T01,50,TAMANQUEIRA,Zanthoxylum rhoifolium,Rutaceae,10.7,O,S,2,FALSE,NA,8.82,14.41,1.9,0.7,0.4,5.3,20130309,"11,8",FALSE,20180429,220150.4346,9633813.232
PAR_A01,T01,51,MAMUI,Jacaratia spinosa,Caricaceae,39.7,O,E,1,FALSE,NA,12.47,18.58,1.8,3.1,4.6,2.9,20130309,"43,2",FALSE,20180429,220144.7654,9633806.906
PAR_A01,T01,52,LIANA,NA,NA,10.3,L,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,20130309,"11,2",FALSE,20180429,220119.0429,9633797.71
PAR_A01,T01,53,INGA CHICHICA,Inga heterophylla,Fabaceae,15,O,S,2,FALSE,NA,8.79,18.08,2.4,3.2,1.8,3.7,20130309,"16,0",FALSE,20180429,220118.1556,9633797.249
PAR_A01,T01,54,JATEREU,Lecythis idatimon,Lecythidaceae,36.9,O,C,1,FALSE,NA,20.82,27.47,5.8,2.9,9,3.3,20130309,"37,2",FALSE,20180429,220119.5741,9633790.437
PAR_A01,T01,55,INGA VERMELHO,Inga alba,Fabaceae,34,O,C,1,FALSE,NA,10.11,17.67,9.2,3.4,2.2,1.5,20130309,"38,9",FALSE,20180429,220185.0421,9633831.213
PAR_A01,T01,56,NI,NI,NI,11.8,O,S,1,FALSE,NA,9.41,11.91,1.5,2.2,1.1,2.6,20130309,"14,7",FALSE,20180429,220180.3669,9633829.347
PAR_A01,T01,57,ANDORINHA,Casearia grandiflora,Salicaceae,10.3,O,S,2,FALSE,NA,6.87,12.36,2.2,1.5,3.1,2.6,20130309,"12,2",FALSE,20180429,220173.3156,9633825.571
PAR_A01,T01,58,ANDORINHA,Casearia grandiflora,Salicaceae,10.8,O,S,2,FALSE,NA,6.87,12.36,3,2,3.1,1.2,20130309,"14,4",FALSE,20180429,220174.203,9633826.032
PAR_A01,T01,59,MORTA,NA,NA,51.5,O,NA,NA,TRUE,3,NA,4.52,NA,NA,NA,NA,20130309,"51,5",TRUE,20180429,220229.8033,9633857.737
PAR_A01,T01,60,MURICI,Byrsonima chrysophylla,Malpighiaceae,13.7,O,S,2,FALSE,NA,9.05,12.4,0.7,3.7,2.6,1.1,20130309,"13,7",TRUE,20180429,220240.0592,9633859.798
PAR_A01,T01,61,MORTA,NA,NA,41.2,O,NA,NA,TRUE,3,NA,10.7,NA,NA,NA,NA,20130309,"41,2",TRUE,20180429,220245.7284,9633866.124
PAR_A01,T01,62,INGA,Inga marginata,Fabaceae,14.1,O,S,2,FALSE,NA,8.6,16.07,1.8,4,4.2,1.6,20130309,"14,1",FALSE,20180429,220230.8518,9633855.803
PAR_A01,T01,63,MORTA,NA,NA,35.6,O,NA,NA,TRUE,4,NA,4.02,NA,NA,NA,NA,20130309,"35,6",TRUE,20180429,220258.0857,9633874.798
PAR_A01,T01,64,MATAMATA PRETO,Eschweilera ovata,Lecythidaceae,66.7,O,E,1,FALSE,NA,22.98,35.36,3.7,6.2,4.5,4.7,20130309,"66,7",TRUE,20180429,220211.3183,9633841.485
PAR_A01,T01,65,INHARE,Helicostylis sp.,Moraceae,11.4,O,S,1,FALSE,NA,8.96,11.73,1.7,2.3,2.5,1.1,20130309,13,FALSE,20180429,220204.183,9633842.059
PAR_A01,T01,66,MORTA,NA,NA,47.5,O,NA,NA,TRUE,3,NA,33.76,NA,NA,NA,NA,20130309,"47,5",TRUE,20180429,220281.2414,9633882.435
PAR_A01,T01,67,MULUNGU,NI,NI,19.7,O,S,2,FALSE,NA,13.41,20.71,1.9,2.5,1.5,2.2,20130309,"20,1",FALSE,20180429,220277.8826,9633880.239
PAR_A01,T01,68,JUTAI,Hymenaea parviflora,Fabaceae,39.8,O,E,1,FALSE,NA,14.75,21.11,3.7,4.1,5,6,20130309,"42,8",FALSE,20180429,220276.0965,9633875.142
PAR_A01,T01,69,MUIRATINGA,Brosimum rubescens ,Moraceae,40.6,O,E,1,FALSE,NA,14.98,22.54,7,2.3,3.3,2.2,20130309,"42,8",FALSE,20180429,220262.441,9633864.667
PAR_A01,T01,70,FREIJO CINZA,Cordia goeldiana,Boraginaceae,35.1,O,E,1,FALSE,NA,18.39,27.57,2.5,3.7,2.8,2.6,20130309,37,FALSE,20180429,220250.7735,9633863.111
PAR_A01,T01,71,ENVIRA CUNAUARU,Annona ambotay,Annonaceae,33.3,O,C,1,FALSE,NA,18.72,22.1,4.8,3.8,4.5,3.7,20130309,"36,5",FALSE,20180429,220322.348,9633904.89
PAR_A01,T01,72,FIGADO DE PREGUISA,NI,NI,36.3,O,C,1,FALSE,NA,15.83,19.26,3.8,6.4,2.8,3.5,20130309,38,FALSE,20180429,220324.5787,9633900.867
PAR_A01,T01,73,MURTA,Strychnos subcordata,Loganiaceae,13,O,S,2,FALSE,NA,9.91,14.69,1.2,1.4,3.9,1.3,20130309,"13,6",FALSE,20180429,220321.3319,9633904.66
PAR_A01,T01,74,MURTA,Strychnos subcordata,Loganiaceae,10.9,O,S,2,FALSE,NA,7.96,13.45,2.3,2.5,2,1.6,20130309,"12,2",FALSE,20180429,220361.3793,9633927.292
PAR_A01,T01,75,MORTA,NA,NA,11.5,O,NA,NA,TRUE,1,NA,9.88,NA,NA,NA,NA,20130309,"11,5",TRUE,20180429,220397.5016,9633947.712
PAR_A01,T01,76,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,15.8,O,S,2,FALSE,NA,11.25,13.74,2.5,1.8,2.5,2.2,20130309,"16,3",FALSE,20180429,220434.7309,9633967.166
PAR_A01,T01,77,ENVIRA BIRIBA,NI,NI,17.5,O,C,1,FALSE,NA,10.43,15.21,6.2,1.1,3.1,2.2,20130309,"19,1",FALSE,20180429,220468.4464,9633984.709
PAR_A01,T02,1,MORTA,NA,NA,38.6,O,NA,NA,TRUE,3,NA,10.66,NA,NA,NA,NA,20130312,NA,TRUE,20180430,220633.6463,9633842.234
PAR_A01,T02,2,MORTA,NA,NA,21.8,O,NA,NA,TRUE,3,NA,16.16,NA,NA,NA,NA,20130312,NA,TRUE,20180430,220611.8547,9633832.153
PAR_A01,T02,3,INGA,Inga marginata,Fabaceae,11.8,O,S,3,FALSE,NA,7.64,9.71,2.6,1.8,1.7,2.8,20130312,"11,8",FALSE,20180430,220607.7367,9633829.207
PAR_A01,T02,4,FAVA FOLHA FINA,Parkia sp.,Fabaceae,41.8,O,C,2,FALSE,NA,15.38,20.91,7.6,8.5,7.3,8.9,20130312,"45,1",FALSE,20180430,220602.2828,9633830.734
PAR_A01,T02,5,MAMUI,Jacaratia spinosa,Caricaceae,55,O,S,1,FALSE,NA,15.53,20.86,6.5,1,2.8,3,20130312,"56,4",FALSE,20180430,220593.1513,9633823.947
PAR_A01,T02,6,PARICARANA,Dimorphandra macrostachya,Fabaceae,42.9,O,C,1,FALSE,NA,15.27,27.17,4.5,6.9,8.5,7.7,20130312,NA,TRUE,20180430,220568.6789,9633815.659
PAR_A01,T02,7,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,16.3,O,S,2,FALSE,NA,11.62,16.35,1.4,2.8,5.4,0.5,20130312,"17,8",FALSE,20180430,220548.8489,9633800.746
PAR_A01,T02,8,MATAMATA,Eschweilera parviflora,Lecythidaceae,52.3,O,E,1,FALSE,NA,19.41,32.81,5.3,4.9,4.3,6,20130312,"53,7",FALSE,20180430,220546.7919,9633800.838
PAR_A01,T02,9,JATEREU,Lecythis idatimon,Lecythidaceae,26.9,O,S,1,FALSE,NA,17.2,23.11,3,2.8,3.2,2.3,20130312,"27,8",FALSE,20180430,220531.4853,9633791.197
PAR_A01,T02,10,ANGELIM RAJADO,Zygia racemosa,Fabaceae,38.2,O,C,1,FALSE,NA,17.48,27.43,3,2.8,3.5,5,20130312,"40,0",FALSE,20180430,220479.5825,9633769.57
PAR_A01,T02,11,TIMBORANA,Pseudopiptadenia suaveolens,Fabaceae,43.9,O,C,1,FALSE,NA,17.26,27.41,5.8,2.1,3.4,7,20130312,"54,4",FALSE,20180430,220476.6294,9633768.321
PAR_A01,T02,12,CAPUEIRO,Rinorea guianensis,Violaceae,20.3,O,S,1,FALSE,NA,15.47,20.35,1.4,1.1,0.8,1.3,20130312,"20,8",FALSE,20180430,220474.4308,9633762.644
PAR_A01,T02,13,GEMA DE OVO,Poecilanthe effusa,Fabaceae,11.7,O,S,2,FALSE,NA,7.34,7.67,0.5,1.1,0.6,1.6,20130312,"11,7",FALSE,20180430,220466.3315,9633758.719
PAR_A01,T02,14,CAPUEIRO,Rinorea guianensis,Violaceae,12,O,S,2,FALSE,NA,5.65,9.68,1.1,1.5,1.1,1.8,20130312,"12,1",FALSE,20180430,220465.3024,9633758.317
PAR_A01,T02,15,MORTA,NA,NA,30.5,O,NA,NA,TRUE,3,NA,4.85,NA,NA,NA,NA,20130312,NA,TRUE,20180430,220435.2346,9633741.258
PAR_A01,T02,16,ANGELIM AMARELO,Hymenolobium sp.,Fabaceae,51.1,O,C,1,FALSE,NA,20.23,29.35,4.8,4.9,3.6,6.9,20130312,"55,1",FALSE,20180430,220430.5797,9633739.531
PAR_A01,T02,17,MATAMATA,Eschweilera parviflora,Lecythidaceae,51.1,O,E,1,FALSE,NA,31.27,36.91,1.6,1.9,0.8,2.8,20130312,NA,TRUE,20180430,220411.1945,9633728.508
PAR_A01,T02,18,PARICARANA,Dimorphandra macrostachya,Fabaceae,36.6,O,C,1,FALSE,NA,9.97,19.9,4.5,5,6.8,6.9,20130312,"40,7",FALSE,20180430,220413.3353,9633732.026
PAR_A01,T02,19,MATAMATA,Eschweilera parviflora,Lecythidaceae,42.1,O,E,1,FALSE,NA,13.5,25.42,2.6,2.7,1.7,5.9,20130312,"42,1",TRUE,20180430,220376.0675,9633709.695
PAR_A01,T02,20,PARAPARA,Jacaranda copaia,Bignoniaceae,11.3,O,S,2,FALSE,NA,7.67,9.41,1.2,11,0.8,1.4,20130312,"11,3",TRUE,20180430,220357.1733,9633698.197
PAR_A01,T02,21,INGA,Inga marginata,Fabaceae,12.8,O,S,3,FALSE,NA,9.35,10.75,1.1,2.8,4.6,2,20130312,"14,2",FALSE,20180430,220301.4591,9633667.74
PAR_A01,T02,22,BARROTE,Tetragastris altissima,Burseraceae,49.7,O,C,2,FALSE,NA,15.44,24.02,5,5.5,3.6,6.6,20130312,"51,7",FALSE,20180430,220298.7887,9633670.506
PAR_A01,T02,23,MORTA,NA,NA,15.6,O,NA,NA,TRUE,3,NA,4.02,NA,NA,NA,NA,20130312,"15,6",TRUE,20180430,220299.5688,9633666.612
PAR_A01,T02,24,EMBAUBA,Cecropia ficifolia,Urticaceae,29,O,E,1,FALSE,NA,17.23,23.73,2.9,1.2,2,5.5,20130312,29,TRUE,20180430,220281.7343,9633657.952
PAR_A01,T02,25,INGA,Inga marginata,Fabaceae,12,O,S,2,FALSE,NA,9.42,12.67,5,1.7,5.2,0.5,20130312,"18,4",FALSE,20180430,220271.4984,9633651.666
PAR_A01,T02,26,PARAPARA,Jacaranda copaia,Bignoniaceae,20.4,O,S,1,FALSE,NA,12.12,15.47,2.6,1.2,1.9,3,20130312,"28,0",FALSE,20180430,220268.022,9633649.688
PAR_A01,T02,27,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,36.3,O,C,2,FALSE,NA,8.16,10.1,1.5,1.6,1,2,20130312,"36,3",TRUE,20180430,220258.0495,9633647.061
PAR_A01,T02,28,POROROCA,Dialium guianense,Fabaceae,11,O,S,2,FALSE,NA,7.66,10.85,2,1.3,1.5,5.7,20130312,"12,4",FALSE,20180430,220253.8745,9633642.211
