Area,plot,tree,common_name,scienfic_name,family_name,WSD,DBH,BA,AGB,type,Dead,D_class,Hcom,Htot,RN,RS,RL,RO,Date,UTM Easting,UTM Northing
SFX_A02,P18,1,PAU PRETO,Dalbergia melanoxylon,Fabaceae,0.8,36.3,0.103491131,0.432156124,O,A,NA,3.2,8.05,0.6,3.2,1,1.3,20120806,411041.5597,9270911.325
SFX_A02,P18,2,CACAU,Theobroma glaucum,Malvaceae,0.53,10,0.007853982,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120806,411037.8597,9270906.525
SFX_A02,P18,3,CUTITIRIBA,Pouteria sp.,Sapotaceae,0.78,25.7,0.051874763,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120806,411042.5597,9270904.525
SFX_A02,P18,4,MOROTOTO,Schefflera morototoni,Araliaceae,0.45,14.3,0.016060607,0.060828102,O,A,NA,10.54,12.9,0.7,0.6,0.6,0.9,20120806,411039.6597,9270899.325
SFX_A02,P18,5,MUIRACATIARA,Astronium gracile,Anacardiaceae,0.73,58.7,0.27062386,5.210652061,O,A,NA,21.08,40.7,4.8,2.8,2.8,6.5,20120806,411033.8597,9270899.325
SFX_A02,P18,6,CAPA BODE,NI,NI,0.62,12.7,0.012667687,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120806,411019.8597,9270898.325
SFX_A02,P18,7,CACAU,Theobroma glaucum,Malvaceae,0.53,12.7,0.012667687,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120806,411036.5597,9270897.325
SFX_A02,P18,8,LOURO PRETO,Nectandra cuspidata,Lauraceae,0.56,36,0.101787602,0.747075652,O,A,NA,16.45,20.22,1.2,2.3,1.3,0.6,20120806,411030.8597,9270894.325
SFX_A02,P18,9,BURRA LEITEIRA,Sapium marmieri,Euphorbiaceae,0.41,39.3,0.121303961,0.702705224,O,A,NA,17,21.8,1.2,1,1.2,1.5,20120806,411033.8597,9270893.325
SFX_A02,P18,10,PAU PRETO,Dalbergia melanoxylon,Fabaceae,0.8,17.7,0.024605739,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120806,411024.8597,9270893.025
