Area,plot,tree,common_name,scienfic_name,family_name,WSD,DBH,BA,AGB,type,Dead,D_class,Hcom,Htot,RN,RS,RE,RW,Date,UTM Easting,UTM Northing
SFX_A03,P10,1,CACAU,Theobroma glaucum,Malvaceae,0.53,13.1,0.013478218,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377007.7971,9284050.401
SFX_A03,P10,2,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,0.89,22.7,0.040470782,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377005.7971,9284046.801
SFX_A03,P10,3,TUCUMA,Astrocaryum aculeatum,Arecaceae,0.51,22.5,0.039760782,0.104212762,P,A,NA,NA,NA,NA,NA,NA,NA,20120730,377004.7971,9284038.201
SFX_A03,P10,4,INGA,Inga marginata,Fabaceae,0.57,16.2,0.020611989,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377003.7971,9284033.201
SFX_A03,P10,5,INGA,Inga marginata,Fabaceae,0.57,16.5,0.021382465,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,376986.7971,9284032.201
SFX_A03,P10,6,BREU DE LEITE,Thyrsodium paraense,Anacardiaceae,0.61,12.1,0.011499015,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,376993.7971,9284030.801
SFX_A03,P10,7,CACAU,Theobroma glaucum,Malvaceae,0.53,14.4,0.016286016,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377002.7971,9284031.201
SFX_A03,P10,8,INGA,Inga marginata,Fabaceae,0.57,22.1,0.038359632,0.131798296,O,A,NA,5.18,9.25,4.2,4.6,3.6,3.2,20120730,376998.7971,9284027.201
SFX_A03,P10,9,CACAU,Theobroma glaucum,Malvaceae,0.53,12.8,0.012867964,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,376994.7971,9284024.701
SFX_A03,P10,10,MUIRACATIARA,Astronium gracile,Anacardiaceae,0.73,11,0.009503318,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377003.7971,9284026.401
SFX_A03,P10,11,TARUMA,Vitex triflora,Lamiaceae,0.56,12.8,0.012867964,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,376993.7971,9284019.201
SFX_A03,P10,12,PRATUDO,Simaba cedron,Simaroubaceae,0.47,13.6,0.014526724,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377007.7971,9284013.201
SFX_A03,P10,13,MORTA,NA,NA,0.6,15.1,0.017907864,NA,O,D,1,NA,NA,NA,NA,NA,NA,20120730,377007.7971,9284015.401
SFX_A03,P10,14,PRATUDO,Simaba cedron,Simaroubaceae,0.47,13.9,0.015174678,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377010.7971,9284011.201
SFX_A03,P10,15,CACAU,Theobroma glaucum,Malvaceae,0.53,12.5,0.012271846,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377017.1971,9284055.901
SFX_A03,P10,16,BARROTE,Tetragastris altissima,Burseraceae,0.71,14.8,0.017203361,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377018.0971,9284054.201
SFX_A03,P10,17,MORTA,NA,NA,0.6,24.1,0.045616711,NA,O,D,1,NA,NA,NA,NA,NA,NA,20120730,377018.7971,9284053.901
SFX_A03,P10,18,UCUUBA,Virola melinoni,Myristicaceae,0.48,11,0.009503318,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377016.7971,9284051.201
SFX_A03,P10,19,MORTA,NA,NA,0.6,20.7,0.033653526,NA,O,D,1,NA,NA,NA,NA,NA,NA,20120730,377017.7971,9284050.801
SFX_A03,P10,20,NI,NI,NI,0.62,12.2,0.011689866,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377021.7971,9284048.301
SFX_A03,P10,21,NI,NI,NI,0.62,11.4,0.010207035,NA,O,A,NA,NA,NA,NA,NA,NA,NA,20120730,377025.7971,9284045.201
