area.code,plot,plot.p,tree,common.name,scientific.name,family.name,DBH,type,Dead,D.class,RN,RS,RE,RW,dates,UTM.Easting,UTM.Northing
TAC_A01,1,1,1,tatapiririca,Tapirira guianensis,Anacardiaceae,11.5,O,FALSE,NA,1.2,1.8,0.8,1.2,20150611,799293.4777,9725892.604
TAC_A01,1,1,2,inga amarelo,Inga sp.,Fabaceae,11.1,O,FALSE,NA,2.7,1.6,2.5,2,20150611,799294.5195,9725892.813
TAC_A01,1,1,3,envira cana,Xylopia nitida,Annonaceae,18.2,O,FALSE,NA,2.4,1.3,2.7,0.8,20150611,799292.2284,9725893.779
TAC_A01,1,1,4,tatapiririca,Tapirira guianensis,Anacardiaceae,14.7,O,FALSE,NA,1.4,1.4,1.3,1.4,20150611,799293.1607,9725894.68
TAC_A01,1,1,5,tatapiririca,Tapirira guianensis,Anacardiaceae,10.8,O,FALSE,NA,2.8,0.8,0.5,1.7,20150611,799293.1456,9725894.778
TAC_A01,1,1,6,envira vermelha,Xylopia amazonica,Annonaceae,12.3,O,FALSE,NA,2.9,1.1,3.3,1,20150611,799296.7208,9725899.073
TAC_A01,1,1,7,tatapiririca,Tapirira guianensis,Anacardiaceae,12.2,O,FALSE,NA,2.4,1.1,2.2,1,20150611,799295.7428,9725898.568
TAC_A01,1,1,8,envira cana,Xylopia nitida,Annonaceae,23,O,FALSE,NA,0.9,2.6,2.1,2,20150611,799294.4186,9725900.237
TAC_A01,1,1,9,envira cana,Xylopia nitida,Annonaceae,16.6,O,FALSE,NA,2.3,2.3,1.2,0.9,20150611,799293.2127,9725901.214
TAC_A01,1,1,10,louro preto,Nectandra cuspidata,Lauraceae,11.6,O,FALSE,NA,0.4,2.8,0.8,0.9,20150611,799292.1193,9725901.5
TAC_A01,1,1,11,morta,NA,NA,22.9,O,TRUE,1,NA,NA,NA,NA,20150611,799291.923,9725902.785
TAC_A01,1,1,12,murta,Strychnos subcordata,Loganiaceae,10.2,O,FALSE,NA,1.1,2.2,1.4,2.3,20150611,799290.8804,9725902.774
TAC_A01,1,1,13,louro preto,Nectandra cuspidata,Lauraceae,16.2,O,FALSE,NA,1.8,4.5,2,2.7,20150611,799295.0895,9725902.62
TAC_A01,1,1,14,envira cana,Xylopia nitida,Annonaceae,18.2,O,FALSE,NA,2.4,3.2,2.6,2.2,20150611,799295.191,9725902.641
TAC_A01,1,1,15,seringueira,Hevea brasiliensis,Euphorbiaceae,31,O,FALSE,NA,6.1,5.8,2.8,3.6,20150611,799301.1808,9725903.871
