area,plot_ID,tree,common_name,scientific_name,family_name,DBH,type,dead,d_class,Hcom,Htot,date,burnt_areas,burnt_area,UTM_Easting,UTM_Northing
TAL_A01,4,1,SUMAUMA,Ceiba pentandra,Malvaceae,23.4,O,FALSE,NA,9.05,11.63,20140714,FALSE,TRUE,611648.0918,8866535.45
TAL_A01,4,2,NA,NA,NA,70,O,TRUE,3,NA,11.18,20140714,FALSE,TRUE,611647.4345,8866535.347
TAL_A01,4,3,PINTADINHO,Poeppigia sp.,Fabaceae,20.1,O,FALSE,NA,9.4,16.76,20140714,FALSE,TRUE,611647.048,8866537.057
TAL_A01,4,4,JOAO MOLE,Neea oppositifolia,Nyctaginaceae,26.5,O,FALSE,NA,14.26,25.13,20140714,FALSE,TRUE,611648.2474,8866540.089
TAL_A01,4,5,INHARE,Helicostylis sp.,Moraceae,14.4,O,FALSE,NA,9.08,12.98,20140714,FALSE,TRUE,611651.2782,8866542.869
TAL_A01,4,6,MELANCIEIRA,Alexa grandiflora,Fabaceae,20.4,O,FALSE,NA,14.32,24.36,20140714,FALSE,TRUE,611647.7343,8866540.13
TAL_A01,4,7,COQUIRANA,Chrysophyllum sanguinolentum,Sapotaceae,15.4,O,FALSE,NA,12.5,18.09,20140714,FALSE,TRUE,611644.6698,8866539.837
TAL_A01,4,8,GRAO DE GUARIBA,Mayna odorata,Flacourtiaceae,12.1,O,FALSE,NA,8.26,11.36,20140714,FALSE,TRUE,611644.2368,8866539.54
TAL_A01,4,9,ENVIRA BRANCA,Annona exsucca,Annonaceae,11.7,O,FALSE,NA,11.26,15.94,20140714,FALSE,TRUE,611642.7689,8866540.158
TAL_A01,4,10,JATAUA,Trichilia micrantha,Meliaceae,15,O,FALSE,NA,13.85,17.09,20140714,FALSE,TRUE,611643.2992,8866543.071
TAL_A01,4,11,JATAUA,Trichilia micrantha,Meliaceae,20.4,O,FALSE,NA,11.14,19.9,20140714,FALSE,TRUE,611639.9852,8866541.27
TAL_A01,4,12,CABREUVA,NA,NA,50.3,O,FALSE,NA,25.04,34.85,20140714,FALSE,TRUE,611639.1856,8866541.304
TAL_A01,4,13,FREIJO BRANCO,Cordia scabrifolia,Boraginaceae,18,O,FALSE,NA,14.61,21.53,20140714,FALSE,TRUE,611638.214,8866546.198
TAL_A01,4,14,MURUMURU,Astrocaryum murumuru,Arecaceae,16,P,FALSE,NA,12.04,17.39,20140714,FALSE,TRUE,611635.4815,8866545.267
TAL_A01,4,15,INHARE,Helicostylis sp.,Moraceae,15.6,O,FALSE,NA,15.18,20.24,20140714,FALSE,TRUE,611634.6938,8866547.967
TAL_A01,4,16,CAUCHO,Castilla ulei,Moraceae,29.7,O,FALSE,NA,13.61,19.14,20140714,FALSE,TRUE,611632.3239,8866547.403
TAL_A01,4,17,NA,NA,NA,19.6,O,TRUE,3,NA,13.4,20140714,FALSE,TRUE,611631.1434,8866548.452
TAL_A01,4,18,NA,NA,NA,10.7,O,FALSE,NA,9.77,12.32,20140714,FALSE,TRUE,611636.6773,8866552.191
TAL_A01,4,19,JUTAI,Dialium guianense,Fabaceae,20.2,O,FALSE,NA,10.83,16.37,20140714,FALSE,TRUE,611625.8688,8866558.365
TAL_A01,4,20,ABIURANA BRANCA,Pouteria guianensis,Sapotaceae,27,O,FALSE,NA,16.49,24.62,20140714,FALSE,TRUE,611625.7653,8866561.044
TAL_A01,4,21,GRAO DE GUARIBA,Mayna odorata,Flacourtiaceae,10.4,O,FALSE,NA,5.61,8.99,20140714,FALSE,TRUE,611626.5487,8866562.938
TAL_A01,4,22,AÇOITA CAVALO,Luehea speciosa,Malvaceae,42,O,FALSE,NA,23.46,30.88,20140714,FALSE,TRUE,611619.9286,8866558.419
TAL_A01,4,23,LIANA,NA,NA,11.9,L,FALSE,NA,NA,NA,20140714,FALSE,TRUE,611622.3621,8866560.151
TAL_A01,4,24,PINTADINHO,Poeppigia sp.,Fabaceae,11.3,O,FALSE,NA,12.33,15.34,20140714,FALSE,TRUE,611621.956,8866563.083
TAL_A01,4,25,BACURI,Platonia insignis,Clusiaceae,17.4,O,FALSE,NA,11.53,16.52,20140714,FALSE,TRUE,611620.4255,8866563.782
