area,transect,tree,common_name,scienfic_name,family_name,WSD,DBH,BA,AGB,type,canopy,Light,Dead,D_class,Hcom,Htot,RN,RS,RE,RW,Date,UTM_Easting,UTM_Northing
TAN_A01,T01,1,MASSARANDUBA,Manilkara huberi,Sapotaceae,0.93,45.1,0.159750772,1.705094695,O,C,1,A,NA,13.16929739,17.70902653,10.7,2,4.7,2.8,20121121,349210.6593,8553226.434
TAN_A01,T01,2,CAFEZINHO,Heisteria densifrons,Olacaceae,0.65,15.7,0.019359279,0.106523568,O,S,2,A,NA,9.294750609,13.06216788,2.2,1.5,2.7,2.8,20121121,349177.3807,8553288.462
TAN_A01,T01,3,CAFEZINHO,Heisteria densifrons,Olacaceae,0.65,11.1,0.009676891,0.033851968,O,S,2,A,NA,6.18313088,8.3043725,1.3,1,2,1.1,20121121,349176.3095,8553292.084
TAN_A01,T01,4,MOROTOTO,Schefflera morototoni,Araliaceae,0.452896923,45.1,0.159750772,1.254192836,O,E,1,A,NA,20.58702155,26.7481703,4.7,3.8,4.2,4,20121121,349170.2537,8553312.652
TAN_A01,T01,5,LOURO,Ocotea sp.,Lauraceae,0.500567938,29,0.066051986,0.493746261,O,C,2,A,NA,16.93192828,23.04236293,2.2,4.9,5.8,5.8,20121121,349155.5,8553332.432
TAN_A01,T01,6,MORTA,NA,NA,0.6,37.8,0.112220831,0.655164804,O,NA,NA,A,1,NA,22.12689033,NA,NA,NA,NA,20121121,349146.4137,8553356.936
TAN_A01,T01,7,QUARUBA,Vochysia guianensis,Vochysiaceae,0.508725,42.1,0.139204756,0.924741747,O,C,1,A,NA,15.55079963,20.14908875,7,2.6,4.4,3.2,20121121,349137.8454,8553372.764
TAN_A01,T01,8,URUCURANA,Sloanea guianensis,Elaeocarpaceae,0.821152911,16.4,0.021124069,0.119716906,O,S,2,A,NA,8.074807976,10.64942034,4.1,5.4,3.2,3.6,20121121,349108.1798,8553422.113
TAN_A01,T01,9,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,0.640270745,12.9,0.013069811,0.065807728,O,S,2,A,NA,8.327560271,12.13433661,2.3,1,1.2,1.4,20121121,349104.2802,8553430.708
TAN_A01,T01,10,CAFEZINHO,Heisteria densifrons,Olacaceae,0.65,17,0.022698007,0.114158252,O,S,2,A,NA,4.825807958,11.93928525,2.8,3.3,3.4,2.7,20121121,349102.5537,8553433.867
TAN_A01,T01,11,CANELA DE VELHO,Casearia javitensis,Salicaceae,0.76,17,0.022698007,0.174780006,O,S,2,A,NA,10.45765659,15.63372731,1,2.6,1.2,4.3,20121121,349102.206,8553433.669
TAN_A01,T01,12,MASSARANDUBA,Manilkara huberi,Sapotaceae,0.93,17,0.022698007,0.295272773,O,S,2,A,NA,10.54989305,21.58364695,8.8,2.5,5.7,8.2,20121121,349099.3585,8553439.296
TAN_A01,T01,13,CARAPANAUBA,Aspidosperma nitidum,Apocynaceae,0.763327689,45.5,0.162597055,1.980849585,O,E,1,A,NA,17.61119843,24.62634204,2.8,3.5,3.6,2.7,20121121,349086.8447,8553473.242
TAN_A01,T01,14,CAFEZINHO,Heisteria densifrons,Olacaceae,0.65,15.4,0.018626503,0.096206646,O,S,2,A,NA,3.976866122,12.26118635,3.8,2.3,2.2,2.4,20121121,349081.7158,8553470.326
TAN_A01,T01,15,MORTA,NA,NA,0.58,39.2,0.120687423,0.662243526,O,NA,NA,D,3,NA,21.38002764,NA,NA,NA,NA,20121121,349082.9182,8553482.512
TAN_A01,T01,16,CANELA DE VELHO,Casearia javitensis,Salicaceae,0.76,12.1,0.011499015,0.09765394,O,S,2,A,NA,11.53754381,17.24200065,2,2.3,4.2,0.8,20121121,349074.7619,8553483.05
TAN_A01,T01,17,QUARUBA,Vochysia guianensis,Vochysiaceae,0.508725,15.6,0.01911345,0.079045397,O,S,1,A,NA,8.113874764,12.54372496,1.7,0.4,0.6,3,20121121,349070.8323,8553491.282
TAN_A01,T01,18,PARAPARA,Jacaranda copaia,Bignoniaceae,0.353578132,23.1,0.041909631,0.205007459,O,E,1,A,NA,15.82535691,21.34727884,1,1.8,0.4,3.2,20121121,349067.9183,8553495.581
TAN_A01,T01,19,MORTA,NA,NA,0.6,11.3,0.010028749,0.034521102,O,NA,NA,D,1,NA,11.59931553,NA,NA,NA,NA,20121121,349066.3,8553499.141
TAN_A01,T01,20,MURTA,Strychnos subcordata,Loganiaceae,0.54,10.3,0.008332289,0.032054911,O,S,2,A,NA,7.700978615,10.99280664,4,1,1,3,20121121,349063.2798,8553506.495
TAN_A01,T01,21,GUAJARA BRANCO,Pouteria sp.,Sapotaceae,0.781766198,37,0.107521009,0.895112327,O,S,2,A,NA,9.42309444,16.43158353,5.5,3.5,5.6,4.7,20121121,349060.6307,8553510.742
TAN_A01,T01,22,QUARUBA,Vochysia guianensis,Vochysiaceae,0.508725,28.2,0.062458004,0.437207288,O,C,1,A,NA,13.89855258,21.23187327,4.1,2.2,3.8,4.4,20121121,349055.4258,8553521.228
TAN_A01,T01,23,CAFEZINHO,Heisteria densifrons,Olacaceae,0.65,13.5,0.014313882,0.06274968,O,S,2,A,NA,6.458692125,10.40669532,2.8,1.6,1.8,1.7,20121121,349043.9616,8553541.846
TAN_A01,T01,24,MORTA,NA,NA,0.6,18.6,0.027171635,0.093307618,O,NA,NA,D,1,NA,11.56552078,NA,NA,NA,NA,20121121,349041.0558,8553547.893
